Second,Volt,Volt2,
-1.44000e-03,9.20e-01,1.74e-01, 
-1.43600e-03,9.60e-01,1.76e-01, 
-1.43200e-03,9.20e-01,1.74e-01, 
-1.42800e-03,9.60e-01,1.79e-01, 
-1.42400e-03,9.20e-01,1.79e-01, 
-1.42000e-03,9.60e-01,1.81e-01, 
-1.41600e-03,9.40e-01,1.80e-01, 
-1.41200e-03,9.60e-01,1.86e-01, 
-1.40800e-03,9.40e-01,1.84e-01, 
-1.40400e-03,9.80e-01,1.89e-01, 
-1.40000e-03,9.40e-01,1.87e-01, 
-1.39600e-03,9.80e-01,1.90e-01, 
-1.39200e-03,9.60e-01,1.89e-01, 
-1.38800e-03,9.80e-01,1.92e-01, 
-1.38400e-03,9.80e-01,1.92e-01, 
-1.38000e-03,9.60e-01,1.89e-01, 
-1.37600e-03,9.80e-01,1.90e-01, 
-1.37200e-03,9.60e-01,1.86e-01, 
-1.36800e-03,9.80e-01,1.86e-01, 
-1.36400e-03,1.00e+00,1.83e-01, 
-1.36000e-03,9.80e-01,1.84e-01, 
-1.35600e-03,1.00e+00,1.82e-01, 
-1.35200e-03,9.80e-01,1.81e-01, 
-1.34800e-03,1.02e+00,1.76e-01, 
-1.34400e-03,9.80e-01,1.78e-01, 
-1.34000e-03,1.02e+00,1.74e-01, 
-1.33600e-03,1.00e+00,1.76e-01, 
-1.33200e-03,1.02e+00,1.72e-01, 
-1.32800e-03,1.00e+00,1.73e-01, 
-1.32400e-03,1.04e+00,1.76e-01, 
-1.32000e-03,1.04e+00,1.76e-01, 
-1.31600e-03,9.80e-01,1.73e-01, 
-1.31200e-03,1.02e+00,1.76e-01, 
-1.30800e-03,1.06e+00,1.81e-01, 
-1.30400e-03,1.00e+00,1.80e-01, 
-1.30000e-03,1.04e+00,1.84e-01, 
-1.29600e-03,1.06e+00,1.84e-01, 
-1.29200e-03,1.02e+00,1.88e-01, 
-1.28800e-03,1.06e+00,1.86e-01, 
-1.28400e-03,1.02e+00,1.89e-01, 
-1.28000e-03,1.02e+00,1.91e-01, 
-1.27600e-03,1.06e+00,1.89e-01, 
-1.27200e-03,1.04e+00,1.90e-01, 
-1.26800e-03,1.06e+00,1.92e-01, 
-1.26400e-03,1.08e+00,1.88e-01, 
-1.26000e-03,1.04e+00,1.90e-01, 
-1.25600e-03,1.06e+00,1.89e-01, 
-1.25200e-03,1.10e+00,1.83e-01, 
-1.24800e-03,1.06e+00,1.84e-01, 
-1.24400e-03,1.10e+00,1.81e-01, 
-1.24000e-03,1.08e+00,1.81e-01, 
-1.23600e-03,1.06e+00,1.77e-01, 
-1.23200e-03,1.10e+00,1.78e-01, 
-1.22800e-03,1.06e+00,1.74e-01, 
-1.22400e-03,1.12e+00,1.76e-01, 
-1.22000e-03,1.06e+00,1.73e-01, 
-1.21600e-03,1.12e+00,1.74e-01, 
-1.21200e-03,1.08e+00,1.77e-01, 
-1.20800e-03,1.12e+00,1.75e-01, 
-1.20400e-03,1.08e+00,1.77e-01, 
-1.20000e-03,1.08e+00,1.75e-01, 
-1.19600e-03,1.12e+00,1.80e-01, 
-1.19200e-03,1.12e+00,1.79e-01, 
-1.18800e-03,1.10e+00,1.84e-01, 
-1.18400e-03,1.10e+00,1.81e-01, 
-1.18000e-03,1.12e+00,1.87e-01, 
-1.17600e-03,1.12e+00,1.88e-01, 
-1.17200e-03,1.14e+00,1.90e-01, 
-1.16800e-03,1.10e+00,1.92e-01, 
-1.16400e-03,1.16e+00,1.89e-01, 
-1.16000e-03,1.12e+00,1.92e-01, 
-1.15600e-03,1.16e+00,1.90e-01, 
-1.15200e-03,1.16e+00,1.91e-01, 
-1.14800e-03,1.10e+00,1.88e-01, 
-1.14400e-03,1.18e+00,1.90e-01, 
-1.14000e-03,1.12e+00,1.84e-01, 
-1.13600e-03,1.16e+00,1.82e-01, 
-1.13200e-03,1.12e+00,1.84e-01, 
-1.12800e-03,1.14e+00,1.83e-01, 
