Second,Volt,Volt2,
-3.02400e-02,-1.60e+00,1.67e-01, 
-3.01400e-02,-1.60e+00,1.79e-01, 
-3.00400e-02,-1.40e+00,1.76e-01, 
-2.99400e-02,-1.60e+00,1.61e-01, 
-2.98400e-02,-1.40e+00,1.78e-01, 
-2.97400e-02,-1.20e+00,1.60e-01, 
-2.96400e-02,-1.20e+00,1.77e-01, 
-2.95400e-02,-1.00e+00,1.64e-01, 
-2.94400e-02,-8.00e-01,1.61e-01, 
-2.93400e-02,-1.00e+00,1.77e-01, 
-2.92400e-02,-8.00e-01,1.78e-01, 
-2.91400e-02,-6.00e-01,1.60e-01, 
-2.90400e-02,-6.00e-01,1.78e-01, 
-2.89400e-02,-6.00e-01,1.61e-01, 
-2.88400e-02,-4.00e-01,1.78e-01, 
-2.87400e-02,-2.00e-01,1.60e-01, 
-2.86400e-02,-2.00e-01,1.79e-01, 
-2.85400e-02,-2.00e-01,1.60e-01, 
-2.84400e-02,-2.00e-01,1.78e-01, 
-2.83400e-02,0.00e+00,1.58e-01, 
-2.82400e-02,0.00e+00,1.80e-01, 
-2.81400e-02,2.00e-01,1.62e-01, 
-2.80400e-02,2.00e-01,1.60e-01, 
-2.79400e-02,4.00e-01,1.80e-01, 
-2.78400e-02,4.00e-01,1.81e-01, 
-2.77400e-02,6.00e-01,1.60e-01, 
-2.76400e-02,6.00e-01,1.61e-01, 
-2.75400e-02,6.00e-01,1.81e-01, 
-2.74400e-02,6.00e-01,1.61e-01, 
-2.73400e-02,8.00e-01,1.78e-01, 
-2.72400e-02,8.00e-01,1.80e-01, 
-2.71400e-02,1.00e+00,1.60e-01, 
-2.70400e-02,1.00e+00,1.80e-01, 
-2.69400e-02,1.20e+00,1.62e-01, 
-2.68400e-02,1.20e+00,1.81e-01, 
-2.67400e-02,1.40e+00,1.63e-01, 
-2.66400e-02,1.40e+00,1.82e-01, 
-2.65400e-02,1.40e+00,1.62e-01, 
-2.64400e-02,1.40e+00,1.62e-01, 
-2.63400e-02,1.60e+00,1.83e-01, 
-2.62400e-02,1.60e+00,1.82e-01, 
-2.61400e-02,1.80e+00,1.59e-01, 
-2.60400e-02,1.80e+00,1.62e-01, 
-2.59400e-02,2.00e+00,1.82e-01, 
-2.58400e-02,2.00e+00,1.60e-01, 
-2.57400e-02,2.00e+00,1.83e-01, 
-2.56400e-02,2.00e+00,1.62e-01, 
-2.55400e-02,2.20e+00,1.84e-01, 
-2.54400e-02,2.40e+00,1.62e-01, 
-2.53400e-02,2.40e+00,1.85e-01, 
-2.52400e-02,2.40e+00,1.61e-01, 
-2.51400e-02,2.60e+00,1.86e-01, 
-2.50400e-02,2.60e+00,1.86e-01, 
-2.49400e-02,2.80e+00,1.63e-01, 
-2.48400e-02,2.80e+00,1.84e-01, 
-2.47400e-02,2.80e+00,1.62e-01, 
-2.46400e-02,2.80e+00,1.87e-01, 
-2.45400e-02,3.20e+00,1.61e-01, 
-2.44400e-02,3.20e+00,1.62e-01, 
-2.43400e-02,3.20e+00,1.87e-01, 
-2.42400e-02,3.20e+00,1.89e-01, 
-2.41400e-02,3.40e+00,1.63e-01, 
-2.40400e-02,3.40e+00,1.90e-01, 
-2.39400e-02,3.60e+00,1.63e-01, 
-2.38400e-02,3.60e+00,1.63e-01, 
-2.37400e-02,3.40e+00,1.90e-01, 
-2.36400e-02,3.80e+00,1.92e-01, 
-2.35400e-02,3.80e+00,1.66e-01, 
-2.34400e-02,3.80e+00,1.92e-01, 
-2.33400e-02,4.00e+00,1.64e-01, 
-2.32400e-02,4.00e+00,1.64e-01, 
-2.31400e-02,4.20e+00,1.92e-01, 
-2.30400e-02,4.20e+00,1.64e-01, 
-2.29400e-02,4.20e+00,1.93e-01, 
-2.28400e-02,4.40e+00,1.95e-01, 
-2.27400e-02,4.60e+00,1.64e-01, 
-2.26400e-02,4.60e+00,1.96e-01, 
-2.25400e-02,4.80e+00,1.66e-01, 
-2.24400e-02,4.60e+00,1.66e-01, 
-2.23400e-02,4.80e+00,1.97e-01, 
-2.22400e-02,4.80e+00,1.96e-01, 
-2.21400e-02,5.00e+00,1.66e-01, 
-2.20400e-02,5.00e+00,1.66e-01, 
-2.19400e-02,5.20e+00,1.98e-01, 
-2.18400e-02,5.20e+00,1.97e-01, 
-2.17400e-02,5.40e+00,1.66e-01, 
-2.16400e-02,5.40e+00,1.64e-01, 
-2.15400e-02,5.60e+00,1.98e-01, 
-2.14400e-02,5.60e+00,1.67e-01, 
-2.13400e-02,5.60e+00,1.98e-01, 
-2.12400e-02,5.60e+00,2.01e-01, 
-2.11400e-02,5.80e+00,1.66e-01, 
-2.10400e-02,6.00e+00,1.67e-01, 
-2.09400e-02,6.00e+00,2.02e-01, 
-2.08400e-02,6.00e+00,1.67e-01, 
-2.07400e-02,6.40e+00,2.01e-01, 
-2.06400e-02,6.40e+00,1.68e-01, 
-2.05400e-02,6.20e+00,2.02e-01, 
-2.04400e-02,6.40e+00,2.02e-01, 
-2.03400e-02,6.60e+00,1.70e-01, 
-2.02400e-02,6.40e+00,1.70e-01, 
-2.01400e-02,6.60e+00,2.04e-01, 
-2.00400e-02,6.60e+00,1.70e-01, 
-1.99400e-02,7.00e+00,2.04e-01, 
-1.98400e-02,6.80e+00,2.07e-01, 
-1.97400e-02,7.00e+00,1.70e-01, 
-1.96400e-02,7.00e+00,1.70e-01, 
-1.95400e-02,7.20e+00,2.07e-01, 
-1.94400e-02,7.20e+00,1.70e-01, 
-1.93400e-02,7.20e+00,2.10e-01, 
-1.92400e-02,7.20e+00,2.12e-01, 
-1.91400e-02,7.40e+00,1.71e-01, 
-1.90400e-02,7.20e+00,1.91e-01, 
-1.89400e-02,7.00e+00,2.12e-01, 
-1.88400e-02,7.00e+00,2.12e-01, 
-1.87400e-02,7.00e+00,1.72e-01, 
-1.86400e-02,7.00e+00,1.69e-01, 
-1.85400e-02,6.80e+00,2.08e-01, 
-1.84400e-02,6.80e+00,2.08e-01, 
-1.83400e-02,6.60e+00,1.68e-01, 
-1.82400e-02,6.60e+00,1.70e-01, 
-1.81400e-02,6.40e+00,1.80e-01, 
-1.80400e-02,6.40e+00,1.84e-01, 
-1.79400e-02,6.40e+00,1.70e-01, 
-1.78400e-02,6.40e+00,2.06e-01, 
-1.77400e-02,6.20e+00,1.69e-01, 
-1.76400e-02,6.20e+00,2.08e-01, 
-1.75400e-02,6.00e+00,1.72e-01, 
-1.74400e-02,6.00e+00,2.07e-01, 
-1.73400e-02,5.80e+00,1.83e-01, 
-1.72400e-02,5.80e+00,1.80e-01, 
-1.71400e-02,5.60e+00,1.68e-01, 
-1.70400e-02,5.60e+00,1.71e-01, 
-1.69400e-02,5.60e+00,2.07e-01, 
-1.68400e-02,5.40e+00,1.68e-01, 
-1.67400e-02,5.20e+00,2.05e-01, 
-1.66400e-02,5.40e+00,1.68e-01, 
-1.65400e-02,5.20e+00,2.05e-01, 
-1.64400e-02,5.20e+00,1.70e-01, 
-1.63400e-02,4.80e+00,2.03e-01, 
-1.62400e-02,4.80e+00,1.69e-01, 
-1.61400e-02,4.80e+00,2.03e-01, 
-1.60400e-02,4.80e+00,1.69e-01, 
-1.59400e-02,4.60e+00,2.02e-01, 
-1.58400e-02,4.60e+00,2.00e-01, 
-1.57400e-02,4.40e+00,1.67e-01, 
-1.56400e-02,4.40e+00,2.00e-01, 
-1.55400e-02,4.20e+00,1.68e-01, 
-1.54400e-02,4.20e+00,2.01e-01, 
-1.53400e-02,4.20e+00,1.67e-01, 
-1.52400e-02,4.20e+00,1.67e-01, 
-1.51400e-02,4.00e+00,2.00e-01, 
-1.50400e-02,4.00e+00,1.67e-01, 
-1.49400e-02,3.80e+00,1.98e-01, 
-1.48400e-02,3.80e+00,1.65e-01, 
-1.47400e-02,3.60e+00,1.98e-01, 
-1.46400e-02,3.60e+00,1.66e-01, 
-1.45400e-02,3.40e+00,1.98e-01, 
-1.44400e-02,3.40e+00,1.67e-01, 
-1.43400e-02,3.40e+00,1.97e-01, 
-1.42400e-02,3.40e+00,1.67e-01, 
-1.41400e-02,3.20e+00,1.96e-01, 
-1.40400e-02,3.20e+00,1.96e-01, 
-1.39400e-02,3.00e+00,1.66e-01, 
-1.38400e-02,3.00e+00,1.67e-01, 
-1.37400e-02,2.80e+00,1.94e-01, 
-1.36400e-02,2.80e+00,1.94e-01, 
-1.35400e-02,2.80e+00,1.65e-01, 
-1.34400e-02,2.80e+00,1.65e-01, 
-1.33400e-02,2.60e+00,1.93e-01, 
-1.32400e-02,2.60e+00,1.62e-01, 
-1.31400e-02,2.40e+00,1.91e-01, 
-1.30400e-02,2.40e+00,1.90e-01, 
-1.29400e-02,2.20e+00,1.62e-01, 
-1.28400e-02,2.20e+00,1.63e-01, 
-1.27400e-02,2.00e+00,1.88e-01, 
-1.26400e-02,2.00e+00,1.62e-01, 
-1.25400e-02,2.00e+00,1.88e-01, 
-1.24400e-02,2.00e+00,1.88e-01, 
-1.23400e-02,1.60e+00,1.65e-01, 
-1.22400e-02,1.60e+00,1.89e-01, 
-1.21400e-02,1.40e+00,1.62e-01, 
-1.20400e-02,1.60e+00,1.64e-01, 
-1.19400e-02,1.40e+00,1.87e-01, 
-1.18400e-02,1.40e+00,1.86e-01, 
-1.17400e-02,1.20e+00,1.64e-01, 
-1.16400e-02,1.40e+00,1.88e-01, 
-1.15400e-02,1.00e+00,1.62e-01, 
-1.14400e-02,1.20e+00,1.86e-01, 
-1.13400e-02,8.00e-01,1.60e-01, 
-1.12400e-02,1.00e+00,1.85e-01, 
-1.11400e-02,6.00e-01,1.62e-01, 
-1.10400e-02,6.00e-01,1.82e-01, 
-1.09400e-02,8.00e-01,1.61e-01, 
-1.08400e-02,6.00e-01,1.61e-01, 
-1.07400e-02,4.00e-01,1.84e-01, 
-1.06400e-02,4.00e-01,1.82e-01, 
-1.05400e-02,2.00e-01,1.60e-01, 
-1.04400e-02,2.00e-01,1.83e-01, 
-1.03400e-02,0.00e+00,1.61e-01, 
-1.02400e-02,0.00e+00,1.62e-01, 
-1.01400e-02,-2.00e-01,1.82e-01, 
-1.00400e-02,-2.00e-01,1.61e-01, 
-9.94000e-03,-2.00e-01,1.81e-01, 
-9.84000e-03,-2.00e-01,1.81e-01, 
-9.74000e-03,-4.00e-01,1.61e-01, 
-9.64000e-03,-4.00e-01,1.59e-01, 
-9.54000e-03,-6.00e-01,1.80e-01, 
-9.44000e-03,-6.00e-01,1.60e-01, 
-9.34000e-03,-8.00e-01,1.80e-01, 
-9.24000e-03,-8.00e-01,1.60e-01, 
-9.14000e-03,-8.00e-01,1.83e-01, 
-9.04000e-03,-8.00e-01,1.82e-01, 
-8.94000e-03,-1.00e+00,1.60e-01, 
-8.84000e-03,-1.00e+00,1.62e-01, 
-8.74000e-03,-1.20e+00,1.79e-01, 
-8.64000e-03,-1.20e+00,1.62e-01, 
-8.54000e-03,-1.40e+00,1.80e-01, 
-8.44000e-03,-1.40e+00,1.60e-01, 
-8.34000e-03,-1.60e+00,1.80e-01, 
-8.24000e-03,-1.60e+00,1.81e-01, 
-8.14000e-03,-1.60e+00,1.60e-01, 
-8.04000e-03,-1.60e+00,1.60e-01, 
-7.94000e-03,-1.80e+00,1.80e-01, 
-7.84000e-03,-1.80e+00,1.61e-01, 
-7.74000e-03,-2.20e+00,1.77e-01, 
-7.64000e-03,-2.00e+00,1.80e-01, 
-7.54000e-03,-2.20e+00,1.60e-01, 
-7.44000e-03,-2.20e+00,1.78e-01, 
-7.34000e-03,-2.20e+00,1.60e-01, 
-7.24000e-03,-2.40e+00,1.61e-01, 
-7.14000e-03,-2.60e+00,1.76e-01, 
-7.04000e-03,-2.60e+00,1.61e-01, 
-6.94000e-03,-2.60e+00,1.78e-01, 
-6.84000e-03,-2.80e+00,1.60e-01, 
-6.74000e-03,-3.00e+00,1.78e-01, 
-6.64000e-03,-2.80e+00,1.61e-01, 
-6.54000e-03,-2.60e+00,1.76e-01, 
-6.44000e-03,-2.60e+00,1.76e-01, 
-6.34000e-03,-2.40e+00,1.62e-01, 
-6.24000e-03,-2.40e+00,1.75e-01, 
-6.14000e-03,-2.20e+00,1.60e-01, 
-6.04000e-03,-2.20e+00,1.60e-01, 
-5.94000e-03,-2.20e+00,1.64e-01, 
-5.84000e-03,-2.20e+00,1.76e-01, 
-5.74000e-03,-2.00e+00,1.61e-01, 
-5.64000e-03,-2.20e+00,1.78e-01, 
-5.54000e-03,-1.80e+00,1.62e-01, 
-5.44000e-03,-1.80e+00,1.62e-01, 
-5.34000e-03,-1.60e+00,1.58e-01, 
-5.24000e-03,-1.60e+00,1.62e-01, 
-5.14000e-03,-1.60e+00,1.72e-01, 
-5.04000e-03,-1.40e+00,1.78e-01, 
-4.94000e-03,-1.60e+00,1.60e-01, 
-4.84000e-03,-1.40e+00,1.60e-01, 
-4.74000e-03,-1.20e+00,1.77e-01, 
-4.64000e-03,-1.20e+00,1.59e-01, 
-4.54000e-03,-1.00e+00,1.78e-01, 
-4.44000e-03,-1.00e+00,1.70e-01, 
-4.34000e-03,-8.00e-01,1.60e-01, 
-4.24000e-03,-8.00e-01,1.78e-01, 
-4.14000e-03,-8.00e-01,1.60e-01, 
-4.04000e-03,-8.00e-01,1.60e-01, 
-3.94000e-03,-4.00e-01,1.78e-01, 
-3.84000e-03,-6.00e-01,1.60e-01, 
-3.74000e-03,-4.00e-01,1.80e-01, 
-3.64000e-03,-2.00e-01,1.61e-01, 
-3.54000e-03,-2.00e-01,1.78e-01, 
-3.44000e-03,-2.00e-01,1.60e-01, 
-3.34000e-03,0.00e+00,1.78e-01, 
-3.24000e-03,0.00e+00,1.77e-01, 
-3.14000e-03,2.00e-01,1.60e-01, 
-3.04000e-03,2.00e-01,1.79e-01, 
-2.94000e-03,4.00e-01,1.61e-01, 
-2.84000e-03,4.00e-01,1.78e-01, 
-2.74000e-03,6.00e-01,1.61e-01, 
-2.64000e-03,6.00e-01,1.80e-01, 
-2.54000e-03,6.00e-01,1.62e-01, 
-2.44000e-03,6.00e-01,1.60e-01, 
-2.34000e-03,8.00e-01,1.78e-01, 
-2.24000e-03,8.00e-01,1.83e-01, 
-2.14000e-03,1.00e+00,1.60e-01, 
-2.04000e-03,1.00e+00,1.60e-01, 
-1.94000e-03,1.20e+00,1.81e-01, 
-1.84000e-03,1.20e+00,1.61e-01, 
-1.74000e-03,1.40e+00,1.81e-01, 
-1.64000e-03,1.40e+00,1.61e-01, 
-1.54000e-03,1.40e+00,1.82e-01, 
-1.44000e-03,1.40e+00,1.81e-01, 
-1.34000e-03,1.60e+00,1.62e-01, 
-1.24000e-03,1.60e+00,1.62e-01, 
-1.14000e-03,1.80e+00,1.83e-01, 
-1.04000e-03,1.80e+00,1.62e-01, 
-9.40000e-04,2.00e+00,1.83e-01, 
-8.40000e-04,2.00e+00,1.82e-01, 
-7.40000e-04,2.00e+00,1.60e-01, 
-6.40000e-04,2.00e+00,1.61e-01, 
-5.40000e-04,2.20e+00,1.83e-01, 
-4.40000e-04,2.20e+00,1.83e-01, 
-3.40000e-04,2.40e+00,1.63e-01, 
-2.40000e-04,2.40e+00,1.85e-01, 
-1.40000e-04,2.60e+00,1.61e-01, 
-4.00000e-05,2.60e+00,1.62e-01, 
6.00000e-05,2.80e+00,1.86e-01, 
1.60000e-04,2.80e+00,1.63e-01, 
2.60000e-04,2.80e+00,1.86e-01, 
3.60000e-04,2.80e+00,1.86e-01, 
4.60000e-04,3.00e+00,1.62e-01, 
5.60000e-04,3.20e+00,1.65e-01, 
6.60000e-04,3.00e+00,1.88e-01, 
7.60000e-04,3.20e+00,1.64e-01, 
8.60000e-04,3.40e+00,1.88e-01, 
9.60000e-04,3.40e+00,1.89e-01, 
1.06000e-03,3.40e+00,1.64e-01, 
1.16000e-03,3.40e+00,1.63e-01, 
1.26000e-03,3.60e+00,1.90e-01, 
1.36000e-03,3.60e+00,1.92e-01, 
1.46000e-03,3.80e+00,1.62e-01, 
