Second,Volt,Volt2,
-6.64000e-03,-3.68e+00,1.74e-01, 
-6.62000e-03,-3.60e+00,1.78e-01, 
-6.60000e-03,-3.60e+00,1.73e-01, 
-6.58000e-03,-3.68e+00,1.78e-01, 
-6.56000e-03,-3.60e+00,1.75e-01, 
-6.54000e-03,-3.52e+00,1.79e-01, 
-6.52000e-03,-3.52e+00,1.80e-01, 
-6.50000e-03,-3.60e+00,1.77e-01, 
-6.48000e-03,-3.52e+00,1.80e-01, 
-6.46000e-03,-3.52e+00,1.78e-01, 
-6.44000e-03,-3.52e+00,1.78e-01, 
-6.42000e-03,-3.52e+00,1.81e-01, 
-6.40000e-03,-3.52e+00,1.80e-01, 
-6.38000e-03,-3.44e+00,1.77e-01, 
-6.36000e-03,-3.52e+00,1.80e-01, 
-6.34000e-03,-3.44e+00,1.78e-01, 
-6.32000e-03,-3.44e+00,1.81e-01, 
-6.30000e-03,-3.36e+00,1.76e-01, 
-6.28000e-03,-3.36e+00,1.78e-01, 
-6.26000e-03,-3.36e+00,1.74e-01, 
-6.24000e-03,-3.36e+00,1.78e-01, 
-6.22000e-03,-3.28e+00,1.75e-01, 
-6.20000e-03,-3.36e+00,1.76e-01, 
-6.18000e-03,-3.28e+00,1.73e-01, 
-6.16000e-03,-3.20e+00,1.76e-01, 
-6.14000e-03,-3.28e+00,1.72e-01, 
-6.12000e-03,-3.28e+00,1.73e-01, 
-6.10000e-03,-3.20e+00,1.70e-01, 
-6.08000e-03,-3.20e+00,1.69e-01, 
-6.06000e-03,-3.20e+00,1.73e-01, 
-6.04000e-03,-3.20e+00,1.71e-01, 
-6.02000e-03,-3.20e+00,1.68e-01, 
-6.00000e-03,-3.20e+00,1.68e-01, 
-5.98000e-03,-3.12e+00,1.70e-01, 
-5.96000e-03,-3.20e+00,1.70e-01, 
-5.94000e-03,-3.12e+00,1.66e-01, 
-5.92000e-03,-3.20e+00,1.70e-01, 
-5.90000e-03,-3.12e+00,1.66e-01, 
-5.88000e-03,-3.12e+00,1.68e-01, 
-5.86000e-03,-3.04e+00,1.66e-01, 
-5.84000e-03,-3.04e+00,1.67e-01, 
-5.82000e-03,-3.04e+00,1.68e-01, 
-5.80000e-03,-3.04e+00,1.67e-01, 
-5.78000e-03,-2.96e+00,1.70e-01, 
-5.76000e-03,-3.04e+00,1.69e-01, 
-5.74000e-03,-2.96e+00,1.67e-01, 
-5.72000e-03,-2.96e+00,1.68e-01, 
-5.70000e-03,-2.96e+00,1.70e-01, 
-5.68000e-03,-2.96e+00,1.71e-01, 
-5.66000e-03,-2.88e+00,1.68e-01, 
-5.64000e-03,-2.96e+00,1.72e-01, 
-5.62000e-03,-2.88e+00,1.68e-01, 
-5.60000e-03,-2.88e+00,1.73e-01, 
-5.58000e-03,-2.88e+00,1.70e-01, 
-5.56000e-03,-2.88e+00,1.71e-01, 
-5.54000e-03,-2.80e+00,1.74e-01, 
-5.52000e-03,-2.80e+00,1.70e-01, 
-5.50000e-03,-2.80e+00,1.75e-01, 
-5.48000e-03,-2.80e+00,1.74e-01, 
