,CH1,CH3
Second,Volt,Volt
-1.11280e-04,-6.00e-01,1.74e-01, 
-1.11180e-04,-6.60e-01,1.73e-01, 
-1.11080e-04,-6.20e-01,1.73e-01, 
-1.10980e-04,-6.00e-01,1.74e-01, 
-1.10880e-04,-6.20e-01,1.73e-01, 
-1.10780e-04,-6.20e-01,1.74e-01, 
-1.10680e-04,-6.00e-01,1.74e-01, 
-1.10580e-04,-6.20e-01,1.74e-01, 
-1.10480e-04,-6.20e-01,1.74e-01, 
-1.10380e-04,-6.20e-01,1.74e-01, 
-1.10280e-04,-6.00e-01,1.74e-01, 
-1.10180e-04,-6.20e-01,1.73e-01, 
-1.10080e-04,-6.20e-01,1.73e-01, 
-1.09980e-04,-6.00e-01,1.74e-01, 
-1.09880e-04,-6.20e-01,1.73e-01, 
-1.09780e-04,-5.60e-01,1.74e-01, 
-1.09680e-04,-6.20e-01,1.74e-01, 
-1.09580e-04,-6.00e-01,1.75e-01, 
-1.09480e-04,-6.20e-01,1.74e-01, 
-1.09380e-04,-6.00e-01,1.73e-01, 
-1.09280e-04,-6.20e-01,1.74e-01, 
-1.09180e-04,-5.80e-01,1.73e-01, 
-1.09080e-04,-5.80e-01,1.74e-01, 
-1.08980e-04,-6.20e-01,1.73e-01, 
-1.08880e-04,-6.00e-01,1.73e-01, 
-1.08780e-04,-5.80e-01,1.74e-01, 
-1.08680e-04,-6.00e-01,1.74e-01, 
-1.08580e-04,-5.60e-01,1.74e-01, 
-1.08480e-04,-6.00e-01,1.74e-01, 
-1.08380e-04,-5.60e-01,1.76e-01, 
-1.08280e-04,-6.00e-01,1.74e-01, 
-1.08180e-04,-5.60e-01,1.74e-01, 
-1.08080e-04,-6.00e-01,1.75e-01, 
-1.07980e-04,-5.60e-01,1.74e-01, 
-1.07880e-04,-5.60e-01,1.74e-01, 
-1.07780e-04,-6.00e-01,1.73e-01, 
-1.07680e-04,-6.20e-01,1.73e-01, 
-1.07580e-04,-5.40e-01,1.72e-01, 
-1.07480e-04,-5.60e-01,1.73e-01, 
-1.07380e-04,-6.00e-01,1.74e-01, 
-1.07280e-04,-5.80e-01,1.73e-01, 
-1.07180e-04,-5.40e-01,1.74e-01, 
-1.07080e-04,-5.60e-01,1.73e-01, 
-1.06980e-04,-5.80e-01,1.72e-01, 
-1.06880e-04,-5.40e-01,1.72e-01, 
-1.06780e-04,-5.80e-01,1.73e-01, 
-1.06680e-04,-5.80e-01,1.74e-01, 
-1.06580e-04,-5.40e-01,1.73e-01, 
-1.06480e-04,-5.60e-01,1.74e-01, 
-1.06380e-04,-5.40e-01,1.73e-01, 
-1.06280e-04,-5.40e-01,1.72e-01, 
-1.06180e-04,-5.80e-01,1.74e-01, 
-1.06080e-04,-5.40e-01,1.72e-01, 
-1.05980e-04,-5.60e-01,1.72e-01, 
-1.05880e-04,-5.60e-01,1.72e-01, 
-1.05780e-04,-5.20e-01,1.73e-01, 
-1.05680e-04,-5.40e-01,1.73e-01, 
-1.05580e-04,-5.80e-01,1.72e-01, 
-1.05480e-04,-5.40e-01,1.71e-01, 
-1.05380e-04,-5.60e-01,1.72e-01, 
-1.05280e-04,-5.60e-01,1.72e-01, 
-1.05180e-04,-5.20e-01,1.73e-01, 
-1.05080e-04,-5.40e-01,1.72e-01, 
-1.04980e-04,-5.60e-01,1.71e-01, 
-1.04880e-04,-5.60e-01,1.72e-01, 
-1.04780e-04,-5.00e-01,1.73e-01, 
-1.04680e-04,-5.40e-01,1.72e-01, 
-1.04580e-04,-5.20e-01,1.73e-01, 
-1.04480e-04,-5.40e-01,1.74e-01, 
