Second,Volt,Volt2,
-2.22560e-04,-6.20e-01,1.73e-01, 
-2.22360e-04,-6.60e-01,1.73e-01, 
-2.22160e-04,-6.20e-01,1.73e-01, 
-2.21960e-04,-6.60e-01,1.72e-01, 
-2.21760e-04,-6.20e-01,1.73e-01, 
-2.21560e-04,-6.60e-01,1.74e-01, 
-2.21360e-04,-6.20e-01,1.74e-01, 
-2.21160e-04,-6.40e-01,1.75e-01, 
-2.20960e-04,-6.20e-01,1.75e-01, 
-2.20760e-04,-6.40e-01,1.73e-01, 
-2.20560e-04,-6.20e-01,1.75e-01, 
-2.20360e-04,-6.20e-01,1.74e-01, 
-2.20160e-04,-6.20e-01,1.75e-01, 
-2.19960e-04,-6.00e-01,1.74e-01, 
-2.19760e-04,-6.00e-01,1.74e-01, 
-2.19560e-04,-6.20e-01,1.75e-01, 
-2.19360e-04,-6.00e-01,1.75e-01, 
-2.19160e-04,-6.20e-01,1.76e-01, 
-2.18960e-04,-6.20e-01,1.75e-01, 
-2.18760e-04,-6.00e-01,1.76e-01, 
-2.18560e-04,-6.20e-01,1.76e-01, 
-2.18360e-04,-5.80e-01,1.77e-01, 
-2.18160e-04,-5.80e-01,1.76e-01, 
-2.17960e-04,-6.20e-01,1.77e-01, 
-2.17760e-04,-6.20e-01,1.77e-01, 
-2.17560e-04,-5.80e-01,1.76e-01, 
-2.17360e-04,-6.20e-01,1.77e-01, 
-2.17160e-04,-5.80e-01,1.76e-01, 
-2.16960e-04,-6.00e-01,1.76e-01, 
-2.16760e-04,-6.00e-01,1.75e-01, 
-2.16560e-04,-6.20e-01,1.76e-01, 
-2.16360e-04,-5.40e-01,1.76e-01, 
-2.16160e-04,-6.20e-01,1.76e-01, 
-2.15960e-04,-5.60e-01,1.76e-01, 
-2.15760e-04,-6.00e-01,1.75e-01, 
-2.15560e-04,-5.60e-01,1.76e-01, 
-2.15360e-04,-5.40e-01,1.76e-01, 
-2.15160e-04,-6.00e-01,1.75e-01, 
-2.14960e-04,-5.60e-01,1.74e-01, 
-2.14760e-04,-6.00e-01,1.75e-01, 
-2.14560e-04,-5.40e-01,1.75e-01, 
-2.14360e-04,-6.00e-01,1.76e-01, 
-2.14160e-04,-5.60e-01,1.75e-01, 
-2.13960e-04,-6.00e-01,1.75e-01, 
-2.13760e-04,-5.40e-01,1.75e-01, 
-2.13560e-04,-5.80e-01,1.76e-01, 
-2.13360e-04,-5.80e-01,1.77e-01, 
-2.13160e-04,-5.40e-01,1.76e-01, 
-2.12960e-04,-5.40e-01,1.76e-01, 
-2.12760e-04,-5.80e-01,1.74e-01, 
-2.12560e-04,-5.80e-01,1.74e-01, 
-2.12360e-04,-5.40e-01,1.75e-01, 
-2.12160e-04,-5.40e-01,1.74e-01, 
-2.11960e-04,-5.80e-01,1.75e-01, 
-2.11760e-04,-5.40e-01,1.75e-01, 
-2.11560e-04,-5.60e-01,1.74e-01, 
-2.11360e-04,-5.40e-01,1.74e-01, 
-2.11160e-04,-5.60e-01,1.75e-01, 
-2.10960e-04,-5.40e-01,1.75e-01, 
-2.10760e-04,-5.60e-01,1.75e-01, 
-2.10560e-04,-5.60e-01,1.75e-01, 
-2.10360e-04,-5.20e-01,1.76e-01, 
-2.10160e-04,-5.60e-01,1.76e-01, 
-2.09960e-04,-5.40e-01,1.75e-01, 
