Freq,,Amp,,
                1000,Hz,              -17.60, dBm,
                1081,Hz,              -18.19, dBm,
                1162,Hz,              -18.93, dBm,
                1243,Hz,              -19.84, dBm,
                1324,Hz,              -20.95, dBm,
                1405,Hz,              -22.29, dBm,
                1486,Hz,              -23.87, dBm,
                1567,Hz,              -25.66, dBm,
                1648,Hz,              -27.63, dBm,
                1729,Hz,              -29.79, dBm,
                1810,Hz,              -32.12, dBm,
                1891,Hz,              -34.58, dBm,
                1972,Hz,              -37.16, dBm,
                2053,Hz,              -38.91, dBm,
                2134,Hz,              -41.49, dBm,
                2215,Hz,              -43.80, dBm,
                2296,Hz,              -45.55, dBm,
                2377,Hz,              -46.36, dBm,
                2458,Hz,              -46.69, dBm,
                2539,Hz,              -47.27, dBm,
                2620,Hz,              -48.00, dBm,
                2701,Hz,              -48.65, dBm,
                2782,Hz,              -49.04, dBm,
                2863,Hz,              -49.17, dBm,
                2944,Hz,              -49.22, dBm,
                3025,Hz,              -49.40, dBm,
                3106,Hz,              -49.94, dBm,
                3187,Hz,              -50.54, dBm,
                3268,Hz,              -51.17, dBm,
                3349,Hz,              -51.87, dBm,
                3430,Hz,              -52.63, dBm,
                3511,Hz,              -53.37, dBm,
                3592,Hz,              -54.04, dBm,
                3673,Hz,              -54.71, dBm,
                3754,Hz,              -55.27, dBm,
                3835,Hz,              -55.73, dBm,
                3916,Hz,              -55.83, dBm,
                3997,Hz,              -55.73, dBm,
                4078,Hz,              -55.74, dBm,
                4159,Hz,              -55.89, dBm,
                4240,Hz,              -56.16, dBm,
                4321,Hz,              -56.41, dBm,
                4402,Hz,              -56.59, dBm,
                4483,Hz,              -56.58, dBm,
                4564,Hz,              -56.40, dBm,
                4645,Hz,              -56.09, dBm,
                4726,Hz,              -55.78, dBm,
                4807,Hz,              -55.63, dBm,
                4888,Hz,              -55.58, dBm,
                4969,Hz,              -55.58, dBm,
                5050,Hz,              -55.67, dBm,
                5131,Hz,              -56.05, dBm,
                5212,Hz,              -56.59, dBm,
                5293,Hz,              -57.22, dBm,
                5374,Hz,              -57.84, dBm,
                5455,Hz,              -58.51, dBm,
                5536,Hz,              -59.33, dBm,
                5617,Hz,              -60.24, dBm,
                5698,Hz,              -61.41, dBm,
                5779,Hz,              -62.31, dBm,
                5860,Hz,              -62.83, dBm,
                5941,Hz,              -63.11, dBm,
                6022,Hz,              -62.63, dBm,
                6103,Hz,              -61.88, dBm,
                6184,Hz,              -60.94, dBm,
                6265,Hz,              -60.05, dBm,
                6346,Hz,              -59.02, dBm,
                6427,Hz,              -58.13, dBm,
                6508,Hz,              -57.15, dBm,
                6589,Hz,              -56.57, dBm,
                6670,Hz,              -56.35, dBm,
                6751,Hz,              -56.35, dBm,
                6832,Hz,              -56.44, dBm,
                6913,Hz,              -56.75, dBm,
                6994,Hz,              -57.27, dBm,
                7075,Hz,              -58.02, dBm,
                7156,Hz,              -59.03, dBm,
                7237,Hz,              -60.33, dBm,
                7318,Hz,              -61.92, dBm,
                7399,Hz,              -63.49, dBm,
                7480,Hz,              -64.85, dBm,
                7561,Hz,              -65.54, dBm,
                7642,Hz,              -64.94, dBm,
                7723,Hz,              -63.63, dBm,
                7804,Hz,              -62.09, dBm,
                7885,Hz,              -60.63, dBm,
                7966,Hz,              -59.42, dBm,
                8047,Hz,              -58.43, dBm,
                8128,Hz,              -57.63, dBm,
                8209,Hz,              -57.02, dBm,
                8290,Hz,              -56.55, dBm,
                8371,Hz,              -56.22, dBm,
                8452,Hz,              -56.05, dBm,
                8533,Hz,              -56.01, dBm,
                8614,Hz,              -56.02, dBm,
                8695,Hz,              -56.19, dBm,
                8776,Hz,              -56.53, dBm,
                8857,Hz,              -57.05, dBm,
                8938,Hz,              -57.82, dBm,
                9019,Hz,              -58.78, dBm,
                9100,Hz,              -59.58, dBm,
                9181,Hz,              -60.25, dBm,
                9262,Hz,              -60.89, dBm,
                9343,Hz,              -61.51, dBm,
                9424,Hz,              -62.03, dBm,
                9505,Hz,              -62.51, dBm,
                9586,Hz,              -62.96, dBm,
                9667,Hz,              -63.48, dBm,
                9748,Hz,              -63.99, dBm,
                9829,Hz,              -63.54, dBm,
                9910,Hz,              -63.43, dBm,
                9991,Hz,              -63.48, dBm,
               10072,Hz,              -63.84, dBm,
               10153,Hz,              -64.48, dBm,
               10234,Hz,              -65.16, dBm,
               10315,Hz,              -65.84, dBm,
               10396,Hz,              -66.54, dBm,
               10477,Hz,              -67.20, dBm,
               10558,Hz,              -67.38, dBm,
               10639,Hz,              -67.33, dBm,
               10720,Hz,              -67.40, dBm,
               10801,Hz,              -67.85, dBm,
               10882,Hz,              -68.60, dBm,
               10963,Hz,              -69.03, dBm,
               11044,Hz,              -68.19, dBm,
               11125,Hz,              -66.85, dBm,
               11206,Hz,              -65.14, dBm,
               11287,Hz,              -63.26, dBm,
               11368,Hz,              -61.43, dBm,
               11449,Hz,              -59.79, dBm,
               11530,Hz,              -58.42, dBm,
               11611,Hz,              -57.34, dBm,
               11692,Hz,              -56.49, dBm,
               11773,Hz,              -55.84, dBm,
               11854,Hz,              -55.43, dBm,
               11935,Hz,              -55.28, dBm,
               12016,Hz,              -55.28, dBm,
               12097,Hz,              -55.39, dBm,
               12178,Hz,              -55.73, dBm,
               12259,Hz,              -56.27, dBm,
               12340,Hz,              -56.96, dBm,
               12421,Hz,              -57.79, dBm,
               12502,Hz,              -58.75, dBm,
               12583,Hz,              -59.87, dBm,
               12664,Hz,              -61.20, dBm,
               12745,Hz,              -62.35, dBm,
               12826,Hz,              -63.43, dBm,
               12907,Hz,              -64.39, dBm,
               12988,Hz,              -64.46, dBm,
               13069,Hz,              -63.27, dBm,
               13150,Hz,              -61.66, dBm,
               13231,Hz,              -60.01, dBm,
               13312,Hz,              -58.52, dBm,
               13393,Hz,              -57.64, dBm,
               13474,Hz,              -56.35, dBm,
               13555,Hz,              -55.23, dBm,
               13636,Hz,              -54.27, dBm,
               13717,Hz,              -53.41, dBm,
               13798,Hz,              -52.66, dBm,
