Freq,,Amp,,
                1000,Hz,              -17.67, dBm,
                1081,Hz,              -18.26, dBm,
                1162,Hz,              -19.00, dBm,
                1243,Hz,              -19.93, dBm,
                1324,Hz,              -21.05, dBm,
                1405,Hz,              -22.40, dBm,
                1486,Hz,              -23.99, dBm,
                1567,Hz,              -25.83, dBm,
                1648,Hz,              -27.18, dBm,
                1729,Hz,              -29.42, dBm,
                1810,Hz,              -31.86, dBm,
                1891,Hz,              -34.45, dBm,
                1972,Hz,              -37.15, dBm,
                2053,Hz,              -39.94, dBm,
                2134,Hz,              -42.81, dBm,
                2215,Hz,              -45.59, dBm,
                2296,Hz,              -48.07, dBm,
                2377,Hz,              -49.95, dBm,
                2458,Hz,              -51.17, dBm,
                2539,Hz,              -51.94, dBm,
                2620,Hz,              -52.07, dBm,
                2701,Hz,              -51.55, dBm,
                2782,Hz,              -50.87, dBm,
                2863,Hz,              -50.09, dBm,
                2944,Hz,              -49.41, dBm,
                3025,Hz,              -49.01, dBm,
                3106,Hz,              -48.85, dBm,
                3187,Hz,              -48.84, dBm,
                3268,Hz,              -48.84, dBm,
                3349,Hz,              -48.91, dBm,
                3430,Hz,              -49.09, dBm,
                3511,Hz,              -49.37, dBm,
                3592,Hz,              -49.78, dBm,
                3673,Hz,              -50.29, dBm,
                3754,Hz,              -50.81, dBm,
                3835,Hz,              -51.36, dBm,
                3916,Hz,              -51.88, dBm,
                3997,Hz,              -52.44, dBm,
                4078,Hz,              -53.06, dBm,
                4159,Hz,              -53.69, dBm,
                4240,Hz,              -54.14, dBm,
                4321,Hz,              -54.63, dBm,
                4402,Hz,              -55.21, dBm,
                4483,Hz,              -55.59, dBm,
                4564,Hz,              -55.96, dBm,
                4645,Hz,              -56.13, dBm,
                4726,Hz,              -55.87, dBm,
                4807,Hz,              -55.34, dBm,
                4888,Hz,              -54.73, dBm,
                4969,Hz,              -53.88, dBm,
                5050,Hz,              -53.41, dBm,
                5131,Hz,              -53.23, dBm,
                5212,Hz,              -53.22, dBm,
                5293,Hz,              -53.23, dBm,
                5374,Hz,              -53.32, dBm,
                5455,Hz,              -53.55, dBm,
                5536,Hz,              -53.81, dBm,
                5617,Hz,              -54.22, dBm,
                5698,Hz,              -54.77, dBm,
                5779,Hz,              -55.56, dBm,
                5860,Hz,              -56.51, dBm,
                5941,Hz,              -57.42, dBm,
                6022,Hz,              -58.11, dBm,
                6103,Hz,              -58.56, dBm,
                6184,Hz,              -58.49, dBm,
                6265,Hz,              -58.01, dBm,
                6346,Hz,              -57.36, dBm,
                6427,Hz,              -56.62, dBm,
                6508,Hz,              -55.82, dBm,
                6589,Hz,              -55.10, dBm,
                6670,Hz,              -54.39, dBm,
                6751,Hz,              -53.92, dBm,
                6832,Hz,              -53.72, dBm,
                6913,Hz,              -53.67, dBm,
                6994,Hz,              -53.68, dBm,
                7075,Hz,              -53.76, dBm,
                7156,Hz,              -53.98, dBm,
                7237,Hz,              -54.25, dBm,
                7318,Hz,              -54.52, dBm,
                7399,Hz,              -54.95, dBm,
                7480,Hz,              -55.52, dBm,
                7561,Hz,              -56.12, dBm,
                7642,Hz,              -56.75, dBm,
                7723,Hz,              -57.24, dBm,
                7804,Hz,              -57.55, dBm,
                7885,Hz,              -57.80, dBm,
                7966,Hz,              -58.02, dBm,
                8047,Hz,              -58.22, dBm,
                8128,Hz,              -58.40, dBm,
                8209,Hz,              -58.48, dBm,
                8290,Hz,              -58.35, dBm,
                8371,Hz,              -58.11, dBm,
                8452,Hz,              -57.89, dBm,
                8533,Hz,              -57.81, dBm,
                8614,Hz,              -57.81, dBm,
                8695,Hz,              -57.95, dBm,
                8776,Hz,              -58.26, dBm,
                8857,Hz,              -58.63, dBm,
                8938,Hz,              -58.99, dBm,
                9019,Hz,              -59.28, dBm,
                9100,Hz,              -59.54, dBm,
                9181,Hz,              -59.74, dBm,
                9262,Hz,              -59.89, dBm,
                9343,Hz,              -60.13, dBm,
                9424,Hz,              -60.46, dBm,
                9505,Hz,              -60.85, dBm,
                9586,Hz,              -61.34, dBm,
                9667,Hz,              -61.88, dBm,
                9748,Hz,              -62.51, dBm,
                9829,Hz,              -63.23, dBm,
                9910,Hz,              -64.02, dBm,
                9991,Hz,              -64.72, dBm,
               10072,Hz,              -65.16, dBm,
               10153,Hz,              -65.07, dBm,
               10234,Hz,              -64.51, dBm,
