Freq,,Amp,,
                   0,Hz,              -18.65, dBm,
                 159,Hz,              -18.99, dBm,
                 318,Hz,              -39.39, dBm,
                 477,Hz,              -67.28, dBm,
                 636,Hz,              -68.22, dBm,
                 795,Hz,              -66.98, dBm,
                 954,Hz,              -64.75, dBm,
                1113,Hz,              -65.56, dBm,
                1272,Hz,              -71.55, dBm,
                1431,Hz,              -70.82, dBm,
                1590,Hz,              -71.90, dBm,
                1749,Hz,              -69.06, dBm,
                1908,Hz,              -73.51, dBm,
                2067,Hz,              -75.29, dBm,
                2226,Hz,              -68.23, dBm,
                2385,Hz,              -68.93, dBm,
                2544,Hz,              -74.54, dBm,
                2703,Hz,              -74.00, dBm,
                2862,Hz,              -68.35, dBm,
                3021,Hz,              -71.19, dBm,
                3180,Hz,              -70.86, dBm,
                3339,Hz,              -72.29, dBm,
                3498,Hz,              -73.79, dBm,
                3657,Hz,              -72.71, dBm,
                3816,Hz,              -71.46, dBm,
                3975,Hz,              -72.16, dBm,
                4134,Hz,              -74.13, dBm,
                4293,Hz,              -77.78, dBm,
                4452,Hz,              -70.18, dBm,
                4611,Hz,              -70.99, dBm,
                4770,Hz,              -72.26, dBm,
                4929,Hz,              -72.06, dBm,
                5088,Hz,              -70.13, dBm,
                5247,Hz,              -70.43, dBm,
                5406,Hz,              -68.94, dBm,
                5565,Hz,              -71.73, dBm,
                5724,Hz,              -73.90, dBm,
                5883,Hz,              -72.96, dBm,
                6042,Hz,              -71.93, dBm,
                6201,Hz,              -71.93, dBm,
                6360,Hz,              -74.12, dBm,
                6519,Hz,              -73.84, dBm,
                6678,Hz,              -74.53, dBm,
                6837,Hz,              -75.55, dBm,
                6996,Hz,              -73.72, dBm,
                7155,Hz,              -73.37, dBm,
                7314,Hz,              -72.08, dBm,
                7473,Hz,              -75.29, dBm,
                7632,Hz,              -72.58, dBm,
                7791,Hz,              -74.19, dBm,
                7950,Hz,              -76.25, dBm,
                8109,Hz,              -77.30, dBm,
                8268,Hz,              -77.09, dBm,
                8427,Hz,              -77.08, dBm,
                8586,Hz,              -76.70, dBm,
                8745,Hz,              -78.73, dBm,
                8904,Hz,              -78.08, dBm,
                9063,Hz,              -79.52, dBm,
                9222,Hz,              -79.31, dBm,
                9381,Hz,              -77.61, dBm,
                9540,Hz,              -78.85, dBm,
