Freq,,Amp,,
                1000,Hz,              -30.69, dBm,
                3665,Hz,              -52.93, dBm,
                6330,Hz,              -57.44, dBm,
                8995,Hz,              -69.59, dBm,
               11660,Hz,              -70.12, dBm,
               14325,Hz,              -65.65, dBm,
               16990,Hz,              -71.59, dBm,
               19655,Hz,              -77.45, dBm,
               22320,Hz,              -77.23, dBm,
               24985,Hz,              -75.09, dBm,
               27650,Hz,              -79.26, dBm,
               30315,Hz,              -80.51, dBm,
               32980,Hz,              -80.09, dBm,
               35645,Hz,              -82.47, dBm,
               38310,Hz,              -76.20, dBm,
               40975,Hz,              -77.18, dBm,
               43640,Hz,              -77.25, dBm,
               46305,Hz,              -75.57, dBm,
               48970,Hz,              -76.80, dBm,
               51635,Hz,              -76.19, dBm,
               54300,Hz,              -74.74, dBm,
               56965,Hz,              -74.01, dBm,
               59630,Hz,              -73.89, dBm,
               62295,Hz,              -76.29, dBm,
               64960,Hz,              -77.55, dBm,
               67625,Hz,              -77.92, dBm,
               70290,Hz,              -78.30, dBm,
               72955,Hz,              -78.99, dBm,
               75620,Hz,              -75.19, dBm,
               78285,Hz,              -78.95, dBm,
               80950,Hz,              -78.77, dBm,
               83615,Hz,              -79.19, dBm,
               86280,Hz,              -79.02, dBm,
               88945,Hz,              -75.19, dBm,
               91610,Hz,              -76.19, dBm,
               94275,Hz,              -77.23, dBm,
               96940,Hz,              -80.41, dBm,
               99605,Hz,              -81.29, dBm,
              102270,Hz,              -80.62, dBm,
              104935,Hz,              -78.36, dBm,
              107600,Hz,              -78.66, dBm,
              110265,Hz,              -81.67, dBm,
              112930,Hz,              -77.40, dBm,
              115595,Hz,              -78.89, dBm,
              118260,Hz,              -78.78, dBm,
              120925,Hz,              -78.77, dBm,
              123590,Hz,              -78.88, dBm,
              126255,Hz,              -82.35, dBm,
              128920,Hz,              -80.46, dBm,
              131585,Hz,              -79.63, dBm,
              134250,Hz,              -80.86, dBm,
              136915,Hz,              -80.35, dBm,
              139580,Hz,              -79.57, dBm,
              142245,Hz,              -82.49, dBm,
              144910,Hz,              -78.65, dBm,
              147575,Hz,              -81.09, dBm,
              150240,Hz,              -80.00, dBm,
              152905,Hz,              -81.51, dBm,
              155570,Hz,              -83.41, dBm,
              158235,Hz,              -82.83, dBm,
              160900,Hz,              -86.28, dBm,
              163565,Hz,              -76.89, dBm,
              166230,Hz,              -82.16, dBm,
              168895,Hz,              -78.26, dBm,
              171560,Hz,              -79.87, dBm,
              174225,Hz,              -80.77, dBm,
              176890,Hz,              -79.45, dBm,
              179555,Hz,              -81.22, dBm,
              182220,Hz,              -80.34, dBm,
              184885,Hz,              -81.65, dBm,
              187550,Hz,              -81.93, dBm,
              190215,Hz,              -77.38, dBm,
              192880,Hz,              -79.57, dBm,
              195545,Hz,              -82.02, dBm,
              198210,Hz,              -82.44, dBm,
              200875,Hz,              -80.80, dBm,
              203540,Hz,              -78.66, dBm,
              206205,Hz,              -79.91, dBm,
              208870,Hz,              -82.50, dBm,
              211535,Hz,              -80.74, dBm,
              214200,Hz,              -82.49, dBm,
              216865,Hz,              -81.81, dBm,
              219530,Hz,              -82.81, dBm,
              222195,Hz,              -78.67, dBm,
              224860,Hz,              -82.97, dBm,
              227525,Hz,              -82.23, dBm,
              230190,Hz,              -81.67, dBm,
              232855,Hz,              -85.13, dBm,
              235520,Hz,              -84.63, dBm,
              238185,Hz,              -68.44, dBm,
              240850,Hz,              -64.59, dBm,
              243515,Hz,              -64.52, dBm,
              246180,Hz,              -69.57, dBm,
              248845,Hz,              -75.30, dBm,
              251510,Hz,              -77.13, dBm,
              254175,Hz,              -76.29, dBm,
              256840,Hz,              -79.36, dBm,
              259505,Hz,              -83.11, dBm,
              262170,Hz,              -84.35, dBm,
              264835,Hz,              -76.59, dBm,
              267500,Hz,              -79.55, dBm,
              270165,Hz,              -80.54, dBm,
              272830,Hz,              -85.20, dBm,
              275495,Hz,              -79.37, dBm,
              278160,Hz,              -83.85, dBm,
              280825,Hz,              -79.66, dBm,
              283490,Hz,              -81.43, dBm,
              286155,Hz,              -79.88, dBm,
              288820,Hz,              -79.90, dBm,
              291485,Hz,              -84.68, dBm,
              294150,Hz,              -82.23, dBm,
              296815,Hz,              -82.69, dBm,
              299480,Hz,              -81.95, dBm,
              302145,Hz,              -79.99, dBm,
              304810,Hz,              -82.56, dBm,
              307475,Hz,              -81.77, dBm,
              310140,Hz,              -81.16, dBm,
              312805,Hz,              -82.74, dBm,
              315470,Hz,              -83.85, dBm,
              318135,Hz,              -82.60, dBm,
              320800,Hz,              -78.68, dBm,
              323465,Hz,              -83.40, dBm,
              326130,Hz,              -83.16, dBm,
              328795,Hz,              -84.90, dBm,
              331460,Hz,              -86.36, dBm,
              334125,Hz,              -86.45, dBm,
              336790,Hz,              -85.27, dBm,
              339455,Hz,              -84.79, dBm,
              342120,Hz,              -90.26, dBm,
              344785,Hz,              -81.37, dBm,
              347450,Hz,              -85.23, dBm,
              350115,Hz,              -85.45, dBm,
              352780,Hz,              -84.04, dBm,
              355445,Hz,              -85.10, dBm,
              358110,Hz,              -89.05, dBm,
              360775,Hz,              -87.94, dBm,
              363440,Hz,              -83.91, dBm,
              366105,Hz,              -83.92, dBm,
              368770,Hz,              -85.24, dBm,
              371435,Hz,              -83.13, dBm,
              374100,Hz,              -86.36, dBm,
              376765,Hz,              -82.80, dBm,
              379430,Hz,              -85.48, dBm,
              382095,Hz,              -85.75, dBm,
              384760,Hz,              -87.74, dBm,
              387425,Hz,              -84.38, dBm,
              390090,Hz,              -84.29, dBm,
              392755,Hz,              -85.71, dBm,
              395420,Hz,              -84.98, dBm,
              398085,Hz,              -85.17, dBm,
              400750,Hz,              -90.23, dBm,
              403415,Hz,              -86.25, dBm,
              406080,Hz,              -85.87, dBm,
              408745,Hz,              -85.73, dBm,
              411410,Hz,              -86.85, dBm,
              414075,Hz,              -88.84, dBm,
              416740,Hz,              -90.53, dBm,
              419405,Hz,              -89.41, dBm,
              422070,Hz,              -85.91, dBm,
              424735,Hz,              -89.78, dBm,
              427400,Hz,              -83.86, dBm,
              430065,Hz,              -84.06, dBm,
              432730,Hz,              -87.50, dBm,
              435395,Hz,              -87.08, dBm,
              438060,Hz,              -85.04, dBm,
              440725,Hz,              -87.18, dBm,
              443390,Hz,              -83.68, dBm,
              446055,Hz,              -83.75, dBm,
              448720,Hz,              -84.95, dBm,
              451385,Hz,              -86.41, dBm,
              454050,Hz,              -89.60, dBm,
              456715,Hz,              -81.84, dBm,
              459380,Hz,              -83.69, dBm,
              462045,Hz,              -83.97, dBm,
              464710,Hz,              -84.18, dBm,
              467375,Hz,              -88.97, dBm,
              470040,Hz,              -89.53, dBm,
              472705,Hz,              -91.68, dBm,
              475370,Hz,              -89.22, dBm,
              478035,Hz,              -83.81, dBm,
              480700,Hz,              -89.79, dBm,
              483365,Hz,              -85.68, dBm,
              486030,Hz,              -87.57, dBm,
              488695,Hz,              -87.72, dBm,
              491360,Hz,              -88.40, dBm,
              494025,Hz,              -84.01, dBm,
              496690,Hz,              -86.74, dBm,
              499355,Hz,              -87.09, dBm,
              502020,Hz,              -86.75, dBm,
              504685,Hz,              -88.98, dBm,
              507350,Hz,              -88.04, dBm,
              510015,Hz,              -88.22, dBm,
              512680,Hz,              -87.55, dBm,
              515345,Hz,              -87.98, dBm,
              518010,Hz,              -82.00, dBm,
              520675,Hz,              -82.01, dBm,
              523340,Hz,              -89.02, dBm,
              526005,Hz,              -91.41, dBm,
              528670,Hz,              -89.80, dBm,
              531335,Hz,              -86.65, dBm,
              534000,Hz,              -90.50, dBm,
              536665,Hz,              -88.62, dBm,
              539330,Hz,              -87.85, dBm,
              541995,Hz,              -92.03, dBm,
              544660,Hz,              -88.67, dBm,
              547325,Hz,              -88.12, dBm,
              549990,Hz,              -85.24, dBm,
              552655,Hz,              -86.59, dBm,
              555320,Hz,              -86.44, dBm,
              557985,Hz,              -83.96, dBm,
              560650,Hz,              -86.71, dBm,
              563315,Hz,              -88.59, dBm,
              565980,Hz,              -89.25, dBm,
              568645,Hz,              -89.21, dBm,
              571310,Hz,              -87.39, dBm,
              573975,Hz,              -84.95, dBm,
              576640,Hz,              -88.27, dBm,
              579305,Hz,              -85.58, dBm,
              581970,Hz,              -92.81, dBm,
              584635,Hz,              -86.53, dBm,
              587300,Hz,              -85.99, dBm,
              589965,Hz,              -88.87, dBm,
              592630,Hz,              -92.26, dBm,
              595295,Hz,              -87.68, dBm,
              597960,Hz,              -86.83, dBm,
              600625,Hz,              -86.38, dBm,
              603290,Hz,              -86.71, dBm,
              605955,Hz,              -87.14, dBm,
              608620,Hz,              -86.75, dBm,
              611285,Hz,              -86.31, dBm,
              613950,Hz,              -87.13, dBm,
              616615,Hz,              -88.90, dBm,
              619280,Hz,              -84.63, dBm,
              621945,Hz,              -84.61, dBm,
              624610,Hz,              -83.08, dBm,
              627275,Hz,              -86.29, dBm,
              629940,Hz,              -85.23, dBm,
              632605,Hz,              -84.03, dBm,
              635270,Hz,              -85.31, dBm,
              637935,Hz,              -91.48, dBm,
              640600,Hz,              -86.12, dBm,
              643265,Hz,              -87.56, dBm,
              645930,Hz,              -87.63, dBm,
              648595,Hz,              -87.21, dBm,
              651260,Hz,              -88.36, dBm,
              653925,Hz,              -86.99, dBm,
              656590,Hz,              -87.08, dBm,
              659255,Hz,              -90.43, dBm,
              661920,Hz,              -86.36, dBm,
              664585,Hz,              -87.48, dBm,
              667250,Hz,              -88.17, dBm,
              669915,Hz,              -86.03, dBm,
              672580,Hz,              -85.18, dBm,
              675245,Hz,              -86.75, dBm,
              677910,Hz,              -88.99, dBm,
              680575,Hz,              -89.67, dBm,
              683240,Hz,              -85.34, dBm,
              685905,Hz,              -85.77, dBm,
              688570,Hz,              -88.48, dBm,
              691235,Hz,              -86.49, dBm,
              693900,Hz,              -87.31, dBm,
              696565,Hz,              -86.44, dBm,
              699230,Hz,              -86.31, dBm,
              701895,Hz,              -87.05, dBm,
              704560,Hz,              -87.57, dBm,
              707225,Hz,              -86.18, dBm,
              709890,Hz,              -92.00, dBm,
