Freq,,Amp,,
                1000,Hz,              -66.94, dBm,
                1665,Hz,              -67.48, dBm,
                2330,Hz,              -64.84, dBm,
                2995,Hz,              -70.28, dBm,
                3660,Hz,              -68.01, dBm,
                4325,Hz,              -70.39, dBm,
                4990,Hz,              -71.15, dBm,
                5655,Hz,              -70.01, dBm,
                6320,Hz,              -71.20, dBm,
                6985,Hz,              -74.35, dBm,
                7650,Hz,              -73.15, dBm,
                8315,Hz,              -73.76, dBm,
                8980,Hz,              -73.18, dBm,
                9645,Hz,              -73.39, dBm,
               10310,Hz,              -77.44, dBm,
               10975,Hz,              -73.23, dBm,
               11640,Hz,              -71.60, dBm,
               12305,Hz,              -71.53, dBm,
               12970,Hz,              -76.95, dBm,
               13635,Hz,              -74.26, dBm,
               14300,Hz,              -76.08, dBm,
               14965,Hz,              -80.44, dBm,
               15630,Hz,              -79.23, dBm,
               16295,Hz,              -78.21, dBm,
               16960,Hz,              -78.61, dBm,
               17625,Hz,              -78.88, dBm,
               18290,Hz,              -81.04, dBm,
               18955,Hz,              -78.35, dBm,
               19620,Hz,              -77.29, dBm,
               20285,Hz,              -78.65, dBm,
               20950,Hz,              -77.21, dBm,
               21615,Hz,              -77.26, dBm,
               22280,Hz,              -82.23, dBm,
               22945,Hz,              -77.23, dBm,
               23610,Hz,              -77.00, dBm,
               24275,Hz,              -79.74, dBm,
               24940,Hz,              -79.63, dBm,
               25605,Hz,              -82.24, dBm,
               26270,Hz,              -78.77, dBm,
               26935,Hz,              -78.79, dBm,
               27600,Hz,              -82.29, dBm,
               28265,Hz,              -80.28, dBm,
               28930,Hz,              -79.68, dBm,
               29595,Hz,              -79.58, dBm,
               30260,Hz,              -84.15, dBm,
               30925,Hz,              -82.04, dBm,
               31590,Hz,              -78.10, dBm,
               32255,Hz,              -78.76, dBm,
               32920,Hz,              -78.81, dBm,
               33585,Hz,              -80.98, dBm,
               34250,Hz,              -80.30, dBm,
               34915,Hz,              -80.41, dBm,
               35580,Hz,              -86.27, dBm,
               36245,Hz,              -77.79, dBm,
               36910,Hz,              -79.03, dBm,
               37575,Hz,              -80.16, dBm,
               38240,Hz,              -80.79, dBm,
               38905,Hz,              -80.44, dBm,
               39570,Hz,              -78.38, dBm,
               40235,Hz,              -79.13, dBm,
               40900,Hz,              -78.78, dBm,
               41565,Hz,              -84.21, dBm,
               42230,Hz,              -79.74, dBm,
               42895,Hz,              -79.18, dBm,
               43560,Hz,              -77.24, dBm,
               44225,Hz,              -77.48, dBm,
               44890,Hz,              -79.76, dBm,
               45555,Hz,              -74.66, dBm,
               46220,Hz,              -74.96, dBm,
               46885,Hz,              -73.07, dBm,
               47550,Hz,              -75.14, dBm,
               48215,Hz,              -75.15, dBm,
               48880,Hz,              -71.11, dBm,
               49545,Hz,              -70.75, dBm,
               50210,Hz,              -64.67, dBm,
               50875,Hz,              -57.23, dBm,
               51540,Hz,              -56.05, dBm,
               52205,Hz,              -64.33, dBm,
               52870,Hz,              -66.80, dBm,
               53535,Hz,              -70.08, dBm,
               54200,Hz,              -73.21, dBm,
               54865,Hz,              -71.44, dBm,
               55530,Hz,              -73.11, dBm,
               56195,Hz,              -72.58, dBm,
               56860,Hz,              -77.37, dBm,
               57525,Hz,              -79.46, dBm,
               58190,Hz,              -75.52, dBm,
               58855,Hz,              -78.49, dBm,
               59520,Hz,              -76.26, dBm,
               60185,Hz,              -73.87, dBm,
               60850,Hz,              -73.87, dBm,
               61515,Hz,              -71.25, dBm,
               62180,Hz,              -74.24, dBm,
               62845,Hz,              -78.40, dBm,
               63510,Hz,              -83.45, dBm,
               64175,Hz,              -80.02, dBm,
               64840,Hz,              -83.89, dBm,
               65505,Hz,              -81.80, dBm,
               66170,Hz,              -86.65, dBm,
               66835,Hz,              -79.56, dBm,
               67500,Hz,              -79.36, dBm,
               68165,Hz,              -83.54, dBm,
               68830,Hz,              -81.58, dBm,
               69495,Hz,              -90.32, dBm,
               70160,Hz,              -89.19, dBm,
               70825,Hz,              -87.11, dBm,
               71490,Hz,              -87.50, dBm,
               72155,Hz,              -83.42, dBm,
               72820,Hz,              -83.61, dBm,
               73485,Hz,              -87.14, dBm,
               74150,Hz,              -84.90, dBm,
               74815,Hz,              -84.71, dBm,
               75480,Hz,              -81.87, dBm,
               76145,Hz,              -80.92, dBm,
               76810,Hz,              -79.48, dBm,
               77475,Hz,              -79.95, dBm,
               78140,Hz,              -82.48, dBm,
               78805,Hz,              -84.30, dBm,
               79470,Hz,              -79.26, dBm,
               80135,Hz,              -81.71, dBm,
               80800,Hz,              -80.78, dBm,
               81465,Hz,              -80.79, dBm,
               82130,Hz,              -80.49, dBm,
               82795,Hz,              -81.75, dBm,
               83460,Hz,              -83.96, dBm,
               84125,Hz,              -83.56, dBm,
               84790,Hz,              -79.58, dBm,
               85455,Hz,              -81.07, dBm,
               86120,Hz,              -85.76, dBm,
               86785,Hz,              -82.92, dBm,
               87450,Hz,              -82.23, dBm,
               88115,Hz,              -84.15, dBm,
               88780,Hz,              -84.15, dBm,
               89445,Hz,              -84.81, dBm,
               90110,Hz,              -85.72, dBm,
               90775,Hz,              -85.32, dBm,
               91440,Hz,              -83.51, dBm,
               92105,Hz,              -82.53, dBm,
               92770,Hz,              -83.56, dBm,
               93435,Hz,              -84.81, dBm,
               94100,Hz,              -86.99, dBm,
               94765,Hz,              -79.77, dBm,
               95430,Hz,              -78.89, dBm,
               96095,Hz,              -81.81, dBm,
               96760,Hz,              -80.49, dBm,
               97425,Hz,              -80.78, dBm,
               98090,Hz,              -86.06, dBm,
               98755,Hz,              -82.95, dBm,
               99420,Hz,              -79.25, dBm,
              100085,Hz,              -78.81, dBm,
              100750,Hz,              -78.81, dBm,
              101415,Hz,              -79.96, dBm,
              102080,Hz,              -83.80, dBm,
              102745,Hz,              -82.58, dBm,
              103410,Hz,              -82.12, dBm,
              104075,Hz,              -82.30, dBm,
              104740,Hz,              -85.12, dBm,
              105405,Hz,              -80.71, dBm,
              106070,Hz,              -83.08, dBm,
              106735,Hz,              -84.49, dBm,
              107400,Hz,              -80.11, dBm,
              108065,Hz,              -83.01, dBm,
              108730,Hz,              -79.02, dBm,
              109395,Hz,              -83.97, dBm,
              110060,Hz,              -83.41, dBm,
              110725,Hz,              -83.95, dBm,
              111390,Hz,              -80.33, dBm,
              112055,Hz,              -82.26, dBm,
              112720,Hz,              -82.42, dBm,
              113385,Hz,              -83.08, dBm,
              114050,Hz,              -83.31, dBm,
              114715,Hz,              -86.32, dBm,
              115380,Hz,              -81.71, dBm,
              116045,Hz,              -81.80, dBm,
              116710,Hz,              -83.73, dBm,
              117375,Hz,              -81.75, dBm,
              118040,Hz,              -83.80, dBm,
              118705,Hz,              -82.51, dBm,
              119370,Hz,              -82.23, dBm,
              120035,Hz,              -84.85, dBm,
              120700,Hz,              -86.13, dBm,
              121365,Hz,              -87.50, dBm,
              122030,Hz,              -82.34, dBm,
              122695,Hz,              -81.10, dBm,
              123360,Hz,              -84.57, dBm,
              124025,Hz,              -84.90, dBm,
              124690,Hz,              -82.25, dBm,
              125355,Hz,              -82.90, dBm,
              126020,Hz,              -83.49, dBm,
              126685,Hz,              -83.09, dBm,
              127350,Hz,              -84.08, dBm,
              128015,Hz,              -83.91, dBm,
              128680,Hz,              -84.42, dBm,
              129345,Hz,              -86.34, dBm,
              130010,Hz,              -85.70, dBm,
              130675,Hz,              -88.05, dBm,
              131340,Hz,              -88.22, dBm,
              132005,Hz,              -81.33, dBm,
              132670,Hz,              -84.11, dBm,
              133335,Hz,              -86.22, dBm,
              134000,Hz,              -84.97, dBm,
              134665,Hz,              -82.59, dBm,
              135330,Hz,              -82.99, dBm,
              135995,Hz,              -82.80, dBm,
              136660,Hz,              -81.58, dBm,
              137325,Hz,              -81.54, dBm,
              137990,Hz,              -81.83, dBm,
              138655,Hz,              -85.47, dBm,
              139320,Hz,              -85.24, dBm,
              139985,Hz,              -83.84, dBm,
              140650,Hz,              -84.70, dBm,
              141315,Hz,              -85.99, dBm,
              141980,Hz,              -79.90, dBm,
              142645,Hz,              -83.89, dBm,
              143310,Hz,              -83.67, dBm,
              143975,Hz,              -81.37, dBm,
              144640,Hz,              -89.51, dBm,
              145305,Hz,              -85.65, dBm,
              145970,Hz,              -85.47, dBm,
              146635,Hz,              -85.89, dBm,
              147300,Hz,              -84.19, dBm,
              147965,Hz,              -82.39, dBm,
              148630,Hz,              -86.36, dBm,
              149295,Hz,              -85.40, dBm,
              149960,Hz,              -87.44, dBm,
              150625,Hz,              -85.48, dBm,
              151290,Hz,              -82.40, dBm,
              151955,Hz,              -82.31, dBm,
              152620,Hz,              -83.45, dBm,
              153285,Hz,              -88.35, dBm,
              153950,Hz,              -81.15, dBm,
              154615,Hz,              -81.45, dBm,
              155280,Hz,              -86.92, dBm,
              155945,Hz,              -83.05, dBm,
              156610,Hz,              -83.13, dBm,
              157275,Hz,              -83.25, dBm,
              157940,Hz,              -82.85, dBm,
              158605,Hz,              -84.11, dBm,
              159270,Hz,              -82.93, dBm,
              159935,Hz,              -83.03, dBm,
              160600,Hz,              -83.03, dBm,
              161265,Hz,              -83.69, dBm,
              161930,Hz,              -85.33, dBm,
              162595,Hz,              -87.24, dBm,
              163260,Hz,              -82.73, dBm,
              163925,Hz,              -85.92, dBm,
              164590,Hz,              -84.92, dBm,
              165255,Hz,              -83.77, dBm,
              165920,Hz,              -84.24, dBm,
              166585,Hz,              -81.30, dBm,
              167250,Hz,              -83.59, dBm,
              167915,Hz,              -84.68, dBm,
              168580,Hz,              -92.55, dBm,
              169245,Hz,              -85.58, dBm,
              169910,Hz,              -84.63, dBm,
              170575,Hz,              -88.01, dBm,
              171240,Hz,              -86.35, dBm,
              171905,Hz,              -82.08, dBm,
              172570,Hz,              -82.41, dBm,
              173235,Hz,              -86.13, dBm,
              173900,Hz,              -89.89, dBm,
              174565,Hz,              -89.15, dBm,
              175230,Hz,              -84.14, dBm,
              175895,Hz,              -86.96, dBm,
              176560,Hz,              -87.31, dBm,
              177225,Hz,              -87.35, dBm,
              177890,Hz,              -82.56, dBm,
              178555,Hz,              -82.39, dBm,
              179220,Hz,              -86.93, dBm,
              179885,Hz,              -84.14, dBm,
              180550,Hz,              -85.93, dBm,
              181215,Hz,              -83.19, dBm,
              181880,Hz,              -81.30, dBm,
              182545,Hz,              -87.77, dBm,
              183210,Hz,              -87.78, dBm,
              183875,Hz,              -86.27, dBm,
              184540,Hz,              -87.76, dBm,
              185205,Hz,              -90.33, dBm,
              185870,Hz,              -91.83, dBm,
              186535,Hz,              -86.70, dBm,
              187200,Hz,              -86.86, dBm,
              187865,Hz,              -88.50, dBm,
              188530,Hz,              -83.41, dBm,
              189195,Hz,              -83.32, dBm,
              189860,Hz,              -84.97, dBm,
              190525,Hz,              -83.97, dBm,
              191190,Hz,              -82.46, dBm,
              191855,Hz,              -87.84, dBm,
              192520,Hz,              -86.51, dBm,
              193185,Hz,              -81.63, dBm,
              193850,Hz,              -82.75, dBm,
              194515,Hz,              -83.65, dBm,
              195180,Hz,              -83.60, dBm,
              195845,Hz,              -89.65, dBm,
              196510,Hz,              -88.75, dBm,
              197175,Hz,              -82.84, dBm,
              197840,Hz,              -83.99, dBm,
              198505,Hz,              -85.71, dBm,
              199170,Hz,              -90.03, dBm,
              199835,Hz,              -86.54, dBm,
              200500,Hz,              -86.60, dBm,
              201165,Hz,              -86.72, dBm,
              201830,Hz,              -90.64, dBm,
              202495,Hz,              -88.96, dBm,
              203160,Hz,              -88.53, dBm,
              203825,Hz,              -87.84, dBm,
              204490,Hz,              -88.45, dBm,
              205155,Hz,              -87.91, dBm,
              205820,Hz,              -87.02, dBm,
              206485,Hz,              -86.12, dBm,
              207150,Hz,              -88.30, dBm,
              207815,Hz,              -86.90, dBm,
              208480,Hz,              -83.56, dBm,
              209145,Hz,              -88.51, dBm,
              209810,Hz,              -90.35, dBm,
              210475,Hz,              -87.73, dBm,
              211140,Hz,              -89.87, dBm,
              211805,Hz,              -86.29, dBm,
              212470,Hz,              -86.16, dBm,
              213135,Hz,              -89.54, dBm,
              213800,Hz,              -86.61, dBm,
              214465,Hz,              -94.99, dBm,
              215130,Hz,              -85.82, dBm,
              215795,Hz,              -86.44, dBm,
              216460,Hz,              -85.01, dBm,
              217125,Hz,              -85.21, dBm,
              217790,Hz,              -88.92, dBm,
              218455,Hz,              -90.78, dBm,
              219120,Hz,              -83.82, dBm,
              219785,Hz,              -85.95, dBm,
              220450,Hz,              -86.07, dBm,
              221115,Hz,              -86.08, dBm,
              221780,Hz,              -85.99, dBm,
              222445,Hz,              -88.88, dBm,
              223110,Hz,              -85.14, dBm,
              223775,Hz,              -84.49, dBm,
              224440,Hz,              -88.51, dBm,
              225105,Hz,              -87.63, dBm,
              225770,Hz,              -88.49, dBm,
              226435,Hz,              -87.35, dBm,
              227100,Hz,              -84.49, dBm,
              227765,Hz,              -88.95, dBm,
              228430,Hz,              -86.06, dBm,
              229095,Hz,              -88.42, dBm,
              229760,Hz,              -91.71, dBm,
              230425,Hz,              -81.90, dBm,
              231090,Hz,              -84.46, dBm,
              231755,Hz,              -87.21, dBm,
              232420,Hz,              -88.08, dBm,
              233085,Hz,              -86.39, dBm,
              233750,Hz,              -84.31, dBm,
