Freq,,Amp,,
                1000,Hz,              -66.03, dBm,
                1665,Hz,              -65.68, dBm,
                2330,Hz,              -64.45, dBm,
                2995,Hz,              -72.39, dBm,
                3660,Hz,              -67.95, dBm,
                4325,Hz,              -67.48, dBm,
                4990,Hz,              -68.57, dBm,
                5655,Hz,              -70.62, dBm,
                6320,Hz,              -71.35, dBm,
                6985,Hz,              -68.95, dBm,
                7650,Hz,              -70.44, dBm,
                8315,Hz,              -70.89, dBm,
                8980,Hz,              -71.36, dBm,
                9645,Hz,              -72.85, dBm,
               10310,Hz,              -70.94, dBm,
               10975,Hz,              -78.14, dBm,
               11640,Hz,              -76.23, dBm,
               12305,Hz,              -78.16, dBm,
               12970,Hz,              -77.88, dBm,
               13635,Hz,              -78.75, dBm,
               14300,Hz,              -77.32, dBm,
               14965,Hz,              -76.30, dBm,
               15630,Hz,              -76.10, dBm,
               16295,Hz,              -75.75, dBm,
               16960,Hz,              -77.07, dBm,
               17625,Hz,              -75.67, dBm,
               18290,Hz,              -79.34, dBm,
               18955,Hz,              -79.58, dBm,
               19620,Hz,              -81.86, dBm,
               20285,Hz,              -80.08, dBm,
               20950,Hz,              -81.77, dBm,
               21615,Hz,              -82.29, dBm,
               22280,Hz,              -79.48, dBm,
               22945,Hz,              -85.65, dBm,
               23610,Hz,              -80.85, dBm,
               24275,Hz,              -80.33, dBm,
               24940,Hz,              -81.70, dBm,
               25605,Hz,              -85.60, dBm,
               26270,Hz,              -81.87, dBm,
               26935,Hz,              -79.37, dBm,
               27600,Hz,              -83.88, dBm,
               28265,Hz,              -82.11, dBm,
               28930,Hz,              -79.84, dBm,
               29595,Hz,              -80.47, dBm,
               30260,Hz,              -81.14, dBm,
               30925,Hz,              -78.33, dBm,
               31590,Hz,              -78.39, dBm,
               32255,Hz,              -79.43, dBm,
               32920,Hz,              -80.32, dBm,
               33585,Hz,              -80.49, dBm,
               34250,Hz,              -78.72, dBm,
               34915,Hz,              -79.09, dBm,
               35580,Hz,              -81.11, dBm,
               36245,Hz,              -79.13, dBm,
               36910,Hz,              -76.76, dBm,
               37575,Hz,              -79.26, dBm,
               38240,Hz,              -79.06, dBm,
               38905,Hz,              -79.28, dBm,
               39570,Hz,              -79.10, dBm,
               40235,Hz,              -81.03, dBm,
