Freq,,Amp,,
                1000,Hz,              -73.63, dBm,
                1165,Hz,              -73.00, dBm,
                1330,Hz,              -68.29, dBm,
                1495,Hz,              -71.55, dBm,
                1660,Hz,              -68.78, dBm,
                1825,Hz,              -70.91, dBm,
                1990,Hz,              -77.93, dBm,
                2155,Hz,              -70.07, dBm,
                2320,Hz,              -71.10, dBm,
                2485,Hz,              -72.22, dBm,
                2650,Hz,              -74.46, dBm,
                2815,Hz,              -74.43, dBm,
                2980,Hz,              -74.41, dBm,
                3145,Hz,              -75.70, dBm,
                3310,Hz,              -73.69, dBm,
                3475,Hz,              -76.24, dBm,
                3640,Hz,              -77.49, dBm,
                3805,Hz,              -73.67, dBm,
                3970,Hz,              -68.84, dBm,
                4135,Hz,              -68.82, dBm,
                4300,Hz,              -73.72, dBm,
                4465,Hz,              -72.80, dBm,
                4630,Hz,              -75.00, dBm,
                4795,Hz,              -75.03, dBm,
                4960,Hz,              -72.97, dBm,
                5125,Hz,              -70.58, dBm,
                5290,Hz,              -70.54, dBm,
                5455,Hz,              -72.22, dBm,
                5620,Hz,              -72.06, dBm,
                5785,Hz,              -72.45, dBm,
                5950,Hz,              -74.42, dBm,
                6115,Hz,              -76.54, dBm,
                6280,Hz,              -74.33, dBm,
                6445,Hz,              -73.29, dBm,
                6610,Hz,              -77.17, dBm,
                6775,Hz,              -74.74, dBm,
                6940,Hz,              -75.72, dBm,
                7105,Hz,              -74.40, dBm,
                7270,Hz,              -81.68, dBm,
                7435,Hz,              -73.51, dBm,
                7600,Hz,              -75.85, dBm,
                7765,Hz,              -76.44, dBm,
                7930,Hz,              -79.33, dBm,
                8095,Hz,              -78.08, dBm,
                8260,Hz,              -76.37, dBm,
                8425,Hz,              -79.13, dBm,
                8590,Hz,              -75.35, dBm,
                8755,Hz,              -74.58, dBm,
                8920,Hz,              -76.51, dBm,
                9085,Hz,              -76.62, dBm,
                9250,Hz,              -78.83, dBm,
                9415,Hz,              -76.92, dBm,
                9580,Hz,              -77.82, dBm,
                9745,Hz,              -77.81, dBm,
                9910,Hz,              -77.49, dBm,
               10075,Hz,              -76.56, dBm,
               10240,Hz,              -81.80, dBm,
               10405,Hz,              -79.28, dBm,
               10570,Hz,              -78.41, dBm,
               10735,Hz,              -80.28, dBm,
               10900,Hz,              -80.19, dBm,
               11065,Hz,              -80.40, dBm,
               11230,Hz,              -81.79, dBm,
               11395,Hz,              -82.66, dBm,
               11560,Hz,              -82.97, dBm,
               11725,Hz,              -79.42, dBm,
               11890,Hz,              -77.41, dBm,
               12055,Hz,              -77.62, dBm,
               12220,Hz,              -75.23, dBm,
               12385,Hz,              -76.03, dBm,
               12550,Hz,              -78.15, dBm,
               12715,Hz,              -75.91, dBm,
               12880,Hz,              -79.61, dBm,
               13045,Hz,              -79.75, dBm,
               13210,Hz,              -78.85, dBm,
               13375,Hz,              -78.83, dBm,
               13540,Hz,              -78.75, dBm,
               13705,Hz,              -77.88, dBm,
               13870,Hz,              -73.12, dBm,
               14035,Hz,              -73.27, dBm,
               14200,Hz,              -74.25, dBm,
               14365,Hz,              -76.25, dBm,
               14530,Hz,              -79.30, dBm,
               14695,Hz,              -79.19, dBm,
               14860,Hz,              -79.06, dBm,
               15025,Hz,              -81.01, dBm,
               15190,Hz,              -82.28, dBm,
               15355,Hz,              -81.57, dBm,
               15520,Hz,              -78.35, dBm,
               15685,Hz,              -77.59, dBm,
               15850,Hz,              -81.87, dBm,
               16015,Hz,              -80.78, dBm,
               16180,Hz,              -84.52, dBm,
               16345,Hz,              -78.29, dBm,
               16510,Hz,              -78.76, dBm,
               16675,Hz,              -80.64, dBm,
               16840,Hz,              -81.44, dBm,
               17005,Hz,              -82.86, dBm,
               17170,Hz,              -80.78, dBm,
               17335,Hz,              -79.65, dBm,
               17500,Hz,              -80.69, dBm,
               17665,Hz,              -79.08, dBm,
               17830,Hz,              -80.53, dBm,
               17995,Hz,              -80.16, dBm,
               18160,Hz,              -80.54, dBm,
               18325,Hz,              -86.76, dBm,
               18490,Hz,              -79.94, dBm,
               18655,Hz,              -81.86, dBm,
               18820,Hz,              -80.14, dBm,
               18985,Hz,              -80.34, dBm,
               19150,Hz,              -81.05, dBm,
               19315,Hz,              -80.75, dBm,
               19480,Hz,              -82.43, dBm,
               19645,Hz,              -81.61, dBm,
               19810,Hz,              -84.92, dBm,
               19975,Hz,              -83.87, dBm,
               20140,Hz,              -82.90, dBm,
               20305,Hz,              -84.59, dBm,
               20470,Hz,              -81.40, dBm,
               20635,Hz,              -83.95, dBm,
               20800,Hz,              -83.49, dBm,
               20965,Hz,              -81.67, dBm,
               21130,Hz,              -81.38, dBm,
               21295,Hz,              -81.99, dBm,
               21460,Hz,              -81.81, dBm,
               21625,Hz,              -83.56, dBm,
               21790,Hz,              -82.46, dBm,
               21955,Hz,              -79.87, dBm,
               22120,Hz,              -83.00, dBm,
               22285,Hz,              -80.34, dBm,
               22450,Hz,              -82.49, dBm,
               22615,Hz,              -82.27, dBm,
               22780,Hz,              -80.71, dBm,
               22945,Hz,              -80.64, dBm,
               23110,Hz,              -81.70, dBm,
               23275,Hz,              -83.68, dBm,
               23440,Hz,              -81.51, dBm,
               23605,Hz,              -83.10, dBm,
               23770,Hz,              -87.32, dBm,
               23935,Hz,              -84.69, dBm,
               24100,Hz,              -86.69, dBm,
               24265,Hz,              -84.62, dBm,
               24430,Hz,              -85.36, dBm,
               24595,Hz,              -83.46, dBm,
               24760,Hz,              -82.79, dBm,
               24925,Hz,              -81.38, dBm,
               25090,Hz,              -79.19, dBm,
               25255,Hz,              -80.16, dBm,
               25420,Hz,              -85.07, dBm,
               25585,Hz,              -81.11, dBm,
               25750,Hz,              -84.98, dBm,
               25915,Hz,              -84.36, dBm,
               26080,Hz,              -84.41, dBm,
               26245,Hz,              -82.07, dBm,
               26410,Hz,              -83.66, dBm,
               26575,Hz,              -83.28, dBm,
               26740,Hz,              -84.44, dBm,
               26905,Hz,              -81.22, dBm,
               27070,Hz,              -81.23, dBm,
               27235,Hz,              -89.95, dBm,
               27400,Hz,              -86.32, dBm,
               27565,Hz,              -84.40, dBm,
               27730,Hz,              -80.36, dBm,
               27895,Hz,              -84.25, dBm,
               28060,Hz,              -90.62, dBm,
               28225,Hz,              -84.60, dBm,
               28390,Hz,              -86.08, dBm,
               28555,Hz,              -84.03, dBm,
               28720,Hz,              -83.23, dBm,
               28885,Hz,              -84.28, dBm,
               29050,Hz,              -84.69, dBm,
               29215,Hz,              -83.37, dBm,
               29380,Hz,              -80.92, dBm,
               29545,Hz,              -84.90, dBm,
               29710,Hz,              -85.58, dBm,
               29875,Hz,              -84.39, dBm,
               30040,Hz,              -88.15, dBm,
               30205,Hz,              -84.63, dBm,
               30370,Hz,              -85.63, dBm,
               30535,Hz,              -83.06, dBm,
               30700,Hz,              -84.23, dBm,
               30865,Hz,              -83.01, dBm,
               31030,Hz,              -89.73, dBm,
               31195,Hz,              -84.45, dBm,
               31360,Hz,              -83.18, dBm,
               31525,Hz,              -87.49, dBm,
               31690,Hz,              -87.66, dBm,
               31855,Hz,              -86.91, dBm,
               32020,Hz,              -86.91, dBm,
               32185,Hz,              -84.49, dBm,
               32350,Hz,              -88.67, dBm,
               32515,Hz,              -85.61, dBm,
               32680,Hz,              -82.48, dBm,
               32845,Hz,              -82.45, dBm,
               33010,Hz,              -84.57, dBm,
               33175,Hz,              -83.79, dBm,
               33340,Hz,              -87.77, dBm,
               33505,Hz,              -83.30, dBm,
               33670,Hz,              -87.36, dBm,
               33835,Hz,              -88.98, dBm,
               34000,Hz,              -88.85, dBm,
               34165,Hz,              -82.64, dBm,
               34330,Hz,              -85.48, dBm,
               34495,Hz,              -85.80, dBm,
               34660,Hz,              -88.48, dBm,
               34825,Hz,              -86.86, dBm,
               34990,Hz,              -85.22, dBm,
               35155,Hz,              -85.17, dBm,
               35320,Hz,              -87.87, dBm,
               35485,Hz,              -85.66, dBm,
               35650,Hz,              -84.30, dBm,
               35815,Hz,              -82.99, dBm,
               35980,Hz,              -83.93, dBm,
               36145,Hz,              -83.82, dBm,
               36310,Hz,              -86.76, dBm,
               36475,Hz,              -86.05, dBm,
               36640,Hz,              -88.70, dBm,
               36805,Hz,              -87.36, dBm,
               36970,Hz,              -82.64, dBm,
               37135,Hz,              -81.51, dBm,
               37300,Hz,              -82.70, dBm,
               37465,Hz,              -81.57, dBm,
               37630,Hz,              -82.76, dBm,
               37795,Hz,              -81.00, dBm,
               37960,Hz,              -81.36, dBm,
               38125,Hz,              -88.72, dBm,
               38290,Hz,              -85.61, dBm,
               38455,Hz,              -84.06, dBm,
               38620,Hz,              -84.99, dBm,
               38785,Hz,              -87.34, dBm,
               38950,Hz,              -87.75, dBm,
               39115,Hz,              -87.77, dBm,
               39280,Hz,              -87.65, dBm,
               39445,Hz,              -82.94, dBm,
               39610,Hz,              -84.69, dBm,
               39775,Hz,              -80.79, dBm,
               39940,Hz,              -80.78, dBm,
               40105,Hz,              -83.65, dBm,
               40270,Hz,              -80.74, dBm,
               40435,Hz,              -82.76, dBm,
               40600,Hz,              -82.61, dBm,
               40765,Hz,              -83.18, dBm,
               40930,Hz,              -85.45, dBm,
               41095,Hz,              -83.58, dBm,
               41260,Hz,              -87.75, dBm,
               41425,Hz,              -85.21, dBm,
               41590,Hz,              -85.38, dBm,
               41755,Hz,              -86.20, dBm,
               41920,Hz,              -86.60, dBm,
               42085,Hz,              -87.89, dBm,
               42250,Hz,              -87.74, dBm,
               42415,Hz,              -87.16, dBm,
               42580,Hz,              -82.42, dBm,
               42745,Hz,              -89.01, dBm,
               42910,Hz,              -85.82, dBm,
               43075,Hz,              -88.27, dBm,
               43240,Hz,              -92.38, dBm,
               43405,Hz,              -85.76, dBm,
               43570,Hz,              -83.90, dBm,
               43735,Hz,              -86.68, dBm,
               43900,Hz,              -84.13, dBm,
               44065,Hz,              -84.93, dBm,
               44230,Hz,              -86.14, dBm,
               44395,Hz,              -87.26, dBm,
               44560,Hz,              -85.86, dBm,
               44725,Hz,              -85.01, dBm,
               44890,Hz,              -83.55, dBm,
               45055,Hz,              -84.60, dBm,
               45220,Hz,              -86.20, dBm,
               45385,Hz,              -84.64, dBm,
               45550,Hz,              -84.64, dBm,
               45715,Hz,              -84.32, dBm,
               45880,Hz,              -83.94, dBm,
               46045,Hz,              -82.34, dBm,
               46210,Hz,              -82.82, dBm,
               46375,Hz,              -85.15, dBm,
               46540,Hz,              -85.12, dBm,
               46705,Hz,              -85.90, dBm,
               46870,Hz,              -83.78, dBm,
               47035,Hz,              -83.40, dBm,
               47200,Hz,              -84.76, dBm,
               47365,Hz,              -86.84, dBm,
               47530,Hz,              -82.13, dBm,
               47695,Hz,              -82.61, dBm,
               47860,Hz,              -85.89, dBm,
               48025,Hz,              -86.35, dBm,
               48190,Hz,              -85.84, dBm,
               48355,Hz,              -86.35, dBm,
               48520,Hz,              -84.38, dBm,
               48685,Hz,              -85.35, dBm,
               48850,Hz,              -87.91, dBm,
               49015,Hz,              -84.38, dBm,
               49180,Hz,              -82.65, dBm,
               49345,Hz,              -87.17, dBm,
               49510,Hz,              -84.76, dBm,
               49675,Hz,              -88.50, dBm,
               49840,Hz,              -88.29, dBm,
               50005,Hz,              -89.10, dBm,
               50170,Hz,              -86.22, dBm,
               50335,Hz,              -83.09, dBm,
               50500,Hz,              -84.10, dBm,
               50665,Hz,              -85.36, dBm,
               50830,Hz,              -81.97, dBm,
               50995,Hz,              -86.02, dBm,
               51160,Hz,              -84.71, dBm,
               51325,Hz,              -82.82, dBm,
               51490,Hz,              -83.06, dBm,
               51655,Hz,              -87.09, dBm,
               51820,Hz,              -88.05, dBm,
               51985,Hz,              -86.81, dBm,
