Second,Volt,Volt2,
-4.32000e-04,-1.60e+00,1.71e-01, 
-4.31600e-04,-1.54e+00,1.70e-01, 
-4.31200e-04,-1.58e+00,1.70e-01, 
-4.30800e-04,-1.54e+00,1.72e-01, 
-4.30400e-04,-1.56e+00,1.71e-01, 
-4.30000e-04,-1.54e+00,1.72e-01, 
-4.29600e-04,-1.54e+00,1.71e-01, 
-4.29200e-04,-1.56e+00,1.73e-01, 
-4.28800e-04,-1.54e+00,1.72e-01, 
-4.28400e-04,-1.58e+00,1.74e-01, 
-4.28000e-04,-1.56e+00,1.74e-01, 
-4.27600e-04,-1.52e+00,1.73e-01, 
-4.27200e-04,-1.54e+00,1.73e-01, 
-4.26800e-04,-1.54e+00,1.74e-01, 
-4.26400e-04,-1.52e+00,1.73e-01, 
-4.26000e-04,-1.56e+00,1.75e-01, 
-4.25600e-04,-1.54e+00,1.74e-01, 
-4.25200e-04,-1.50e+00,1.72e-01, 
-4.24800e-04,-1.54e+00,1.72e-01, 
-4.24400e-04,-1.52e+00,1.74e-01, 
-4.24000e-04,-1.54e+00,1.73e-01, 
-4.23600e-04,-1.50e+00,1.75e-01, 
-4.23200e-04,-1.50e+00,1.75e-01, 
-4.22800e-04,-1.54e+00,1.74e-01, 
-4.22400e-04,-1.50e+00,1.75e-01, 
-4.22000e-04,-1.54e+00,1.74e-01, 
-4.21600e-04,-1.48e+00,1.74e-01, 
-4.21200e-04,-1.52e+00,1.76e-01, 
-4.20800e-04,-1.48e+00,1.75e-01, 
-4.20400e-04,-1.52e+00,1.77e-01, 
-4.20000e-04,-1.50e+00,1.76e-01, 
-4.19600e-04,-1.48e+00,1.77e-01, 
-4.19200e-04,-1.48e+00,1.77e-01, 
-4.18800e-04,-1.50e+00,1.73e-01, 
-4.18400e-04,-1.50e+00,1.75e-01, 
-4.18000e-04,-1.48e+00,1.73e-01, 
-4.17600e-04,-1.48e+00,1.73e-01, 
-4.17200e-04,-1.50e+00,1.75e-01, 
-4.16800e-04,-1.48e+00,1.74e-01, 
-4.16400e-04,-1.46e+00,1.75e-01, 
-4.16000e-04,-1.48e+00,1.75e-01, 
-4.15600e-04,-1.46e+00,1.74e-01, 
-4.15200e-04,-1.46e+00,1.75e-01, 
-4.14800e-04,-1.48e+00,1.76e-01, 
-4.14400e-04,-1.48e+00,1.76e-01, 
-4.14000e-04,-1.44e+00,1.77e-01, 
-4.13600e-04,-1.44e+00,1.76e-01, 
-4.13200e-04,-1.48e+00,1.75e-01, 
-4.12800e-04,-1.46e+00,1.76e-01, 
-4.12400e-04,-1.44e+00,1.75e-01, 
-4.12000e-04,-1.42e+00,1.74e-01, 
-4.11600e-04,-1.48e+00,1.75e-01, 
-4.11200e-04,-1.42e+00,1.76e-01, 
-4.10800e-04,-1.46e+00,1.75e-01, 
-4.10400e-04,-1.42e+00,1.75e-01, 
-4.10000e-04,-1.44e+00,1.74e-01, 
-4.09600e-04,-1.46e+00,1.75e-01, 
-4.09200e-04,-1.40e+00,1.76e-01, 
-4.08800e-04,-1.44e+00,1.76e-01, 
-4.08400e-04,-1.40e+00,1.74e-01, 
-4.08000e-04,-1.44e+00,1.74e-01, 
-4.07600e-04,-1.40e+00,1.76e-01, 
-4.07200e-04,-1.40e+00,1.76e-01, 
-4.06800e-04,-1.44e+00,1.78e-01, 
-4.06400e-04,-1.40e+00,1.76e-01, 
-4.06000e-04,-1.44e+00,1.78e-01, 
-4.05600e-04,-1.44e+00,1.78e-01, 
-4.05200e-04,-1.38e+00,1.79e-01, 
-4.04800e-04,-1.40e+00,1.78e-01, 
-4.04400e-04,-1.42e+00,1.76e-01, 
-4.04000e-04,-1.42e+00,1.75e-01, 
-4.03600e-04,-1.38e+00,1.74e-01, 
-4.03200e-04,-1.42e+00,1.74e-01, 
-4.02800e-04,-1.38e+00,1.77e-01, 
-4.02400e-04,-1.40e+00,1.77e-01, 
-4.02000e-04,-1.40e+00,1.79e-01, 
-4.01600e-04,-1.36e+00,1.79e-01, 
-4.01200e-04,-1.40e+00,1.77e-01, 
-4.00800e-04,-1.40e+00,1.77e-01, 
-4.00400e-04,-1.36e+00,1.75e-01, 
-4.00000e-04,-1.40e+00,1.73e-01, 
-3.99600e-04,-1.36e+00,1.75e-01, 
-3.99200e-04,-1.40e+00,1.76e-01, 
-3.98800e-04,-1.36e+00,1.74e-01, 
-3.98400e-04,-1.38e+00,1.75e-01, 
-3.98000e-04,-1.36e+00,1.74e-01, 
-3.97600e-04,-1.40e+00,1.74e-01, 
-3.97200e-04,-1.34e+00,1.72e-01, 
-3.96800e-04,-1.36e+00,1.72e-01, 
-3.96400e-04,-1.38e+00,1.73e-01, 
-3.96000e-04,-1.34e+00,1.72e-01, 
-3.95600e-04,-1.38e+00,1.74e-01, 
-3.95200e-04,-1.38e+00,1.74e-01, 
-3.94800e-04,-1.34e+00,1.75e-01, 
-3.94400e-04,-1.34e+00,1.73e-01, 
-3.94000e-04,-1.38e+00,1.75e-01, 
-3.93600e-04,-1.34e+00,1.76e-01, 
-3.93200e-04,-1.34e+00,1.74e-01, 
-3.92800e-04,-1.36e+00,1.74e-01, 
