Freq,,Amp,,
                1000,Hz,              -18.13, dBm,
                1081,Hz,              -18.72, dBm,
                1162,Hz,              -19.45, dBm,
                1243,Hz,              -20.35, dBm,
                1324,Hz,              -21.42, dBm,
                1405,Hz,              -22.71, dBm,
                1486,Hz,              -24.21, dBm,
                1567,Hz,              -25.93, dBm,
                1648,Hz,              -27.85, dBm,
                1729,Hz,              -30.00, dBm,
                1810,Hz,              -32.37, dBm,
                1891,Hz,              -34.95, dBm,
                1972,Hz,              -36.74, dBm,
                2053,Hz,              -39.50, dBm,
                2134,Hz,              -42.37, dBm,
                2215,Hz,              -45.30, dBm,
                2296,Hz,              -48.16, dBm,
                2377,Hz,              -50.65, dBm,
                2458,Hz,              -52.80, dBm,
                2539,Hz,              -55.04, dBm,
                2620,Hz,              -57.51, dBm,
                2701,Hz,              -59.81, dBm,
                2782,Hz,              -60.97, dBm,
                2863,Hz,              -61.36, dBm,
                2944,Hz,              -62.14, dBm,
                3025,Hz,              -63.15, dBm,
                3106,Hz,              -63.96, dBm,
                3187,Hz,              -63.81, dBm,
                3268,Hz,              -62.64, dBm,
                3349,Hz,              -61.16, dBm,
                3430,Hz,              -59.74, dBm,
                3511,Hz,              -58.50, dBm,
                3592,Hz,              -57.54, dBm,
                3673,Hz,              -57.03, dBm,
                3754,Hz,              -56.93, dBm,
                3835,Hz,              -56.95, dBm,
                3916,Hz,              -57.02, dBm,
                3997,Hz,              -56.83, dBm,
                4078,Hz,              -56.64, dBm,
                4159,Hz,              -56.61, dBm,
                4240,Hz,              -56.63, dBm,
                4321,Hz,              -56.75, dBm,
                4402,Hz,              -56.85, dBm,
                4483,Hz,              -56.75, dBm,
                4564,Hz,              -56.32, dBm,
                4645,Hz,              -55.60, dBm,
                4726,Hz,              -54.86, dBm,
                4807,Hz,              -54.02, dBm,
                4888,Hz,              -53.40, dBm,
                4969,Hz,              -53.02, dBm,
                5050,Hz,              -52.75, dBm,
                5131,Hz,              -52.61, dBm,
                5212,Hz,              -52.51, dBm,
                5293,Hz,              -52.49, dBm,
                5374,Hz,              -52.49, dBm,
                5455,Hz,              -52.53, dBm,
                5536,Hz,              -52.68, dBm,
                5617,Hz,              -53.05, dBm,
                5698,Hz,              -53.65, dBm,
                5779,Hz,              -54.61, dBm,
                5860,Hz,              -55.51, dBm,
                5941,Hz,              -56.17, dBm,
                6022,Hz,              -56.64, dBm,
                6103,Hz,              -56.91, dBm,
                6184,Hz,              -57.02, dBm,
                6265,Hz,              -57.15, dBm,
                6346,Hz,              -57.34, dBm,
                6427,Hz,              -57.75, dBm,
                6508,Hz,              -58.39, dBm,
                6589,Hz,              -58.97, dBm,
                6670,Hz,              -59.23, dBm,
                6751,Hz,              -59.85, dBm,
                6832,Hz,              -60.82, dBm,
                6913,Hz,              -61.99, dBm,
                6994,Hz,              -63.21, dBm,
                7075,Hz,              -64.07, dBm,
                7156,Hz,              -64.08, dBm,
                7237,Hz,              -63.30, dBm,
                7318,Hz,              -61.98, dBm,
                7399,Hz,              -60.96, dBm,
                7480,Hz,              -60.16, dBm,
                7561,Hz,              -59.42, dBm,
                7642,Hz,              -58.96, dBm,
                7723,Hz,              -58.49, dBm,
                7804,Hz,              -58.10, dBm,
                7885,Hz,              -57.86, dBm,
                7966,Hz,              -57.64, dBm,
                8047,Hz,              -57.43, dBm,
                8128,Hz,              -57.23, dBm,
                8209,Hz,              -57.10, dBm,
                8290,Hz,              -57.05, dBm,
                8371,Hz,              -57.05, dBm,
                8452,Hz,              -57.22, dBm,
                8533,Hz,              -57.58, dBm,
                8614,Hz,              -58.13, dBm,
                8695,Hz,              -58.78, dBm,
                8776,Hz,              -59.53, dBm,
                8857,Hz,              -60.34, dBm,
                8938,Hz,              -61.12, dBm,
                9019,Hz,              -61.81, dBm,
                9100,Hz,              -62.27, dBm,
                9181,Hz,              -62.50, dBm,
                9262,Hz,              -62.23, dBm,
                9343,Hz,              -61.72, dBm,
                9424,Hz,              -61.09, dBm,
                9505,Hz,              -60.49, dBm,
                9586,Hz,              -59.93, dBm,
                9667,Hz,              -59.42, dBm,
                9748,Hz,              -58.97, dBm,
                9829,Hz,              -58.56, dBm,
                9910,Hz,              -58.23, dBm,
                9991,Hz,              -57.99, dBm,
               10072,Hz,              -57.84, dBm,
               10153,Hz,              -57.79, dBm,
               10234,Hz,              -57.79, dBm,
               10315,Hz,              -57.86, dBm,
               10396,Hz,              -58.10, dBm,
               10477,Hz,              -58.52, dBm,
               10558,Hz,              -58.93, dBm,
               10639,Hz,              -59.71, dBm,
               10720,Hz,              -60.63, dBm,
               10801,Hz,              -61.62, dBm,
               10882,Hz,              -62.58, dBm,
               10963,Hz,              -63.40, dBm,
               11044,Hz,              -64.01, dBm,
               11125,Hz,              -64.42, dBm,
               11206,Hz,              -64.71, dBm,
               11287,Hz,              -65.02, dBm,
               11368,Hz,              -65.35, dBm,
               11449,Hz,              -65.08, dBm,
               11530,Hz,              -64.71, dBm,
               11611,Hz,              -64.34, dBm,
               11692,Hz,              -64.04, dBm,
               11773,Hz,              -63.85, dBm,
               11854,Hz,              -63.81, dBm,
               11935,Hz,              -63.85, dBm,
               12016,Hz,              -64.03, dBm,
               12097,Hz,              -63.88, dBm,
               12178,Hz,              -63.22, dBm,
               12259,Hz,              -62.58, dBm,
               12340,Hz,              -62.09, dBm,
               12421,Hz,              -61.74, dBm,
               12502,Hz,              -61.52, dBm,
               12583,Hz,              -61.42, dBm,
               12664,Hz,              -61.41, dBm,
               12745,Hz,              -61.44, dBm,
               12826,Hz,              -61.54, dBm,
               12907,Hz,              -61.63, dBm,
               12988,Hz,              -61.76, dBm,
               13069,Hz,              -62.19, dBm,
               13150,Hz,              -62.95, dBm,
               13231,Hz,              -63.98, dBm,
               13312,Hz,              -65.19, dBm,
               13393,Hz,              -66.01, dBm,
               13474,Hz,              -67.12, dBm,
               13555,Hz,              -67.94, dBm,
               13636,Hz,              -68.39, dBm,
               13717,Hz,              -68.52, dBm,
               13798,Hz,              -68.52, dBm,
               13879,Hz,              -68.57, dBm,
               13960,Hz,              -68.69, dBm,
               14041,Hz,              -68.39, dBm,
               14122,Hz,              -67.86, dBm,
               14203,Hz,              -67.12, dBm,
               14284,Hz,              -66.25, dBm,
               14365,Hz,              -65.32, dBm,
               14446,Hz,              -64.42, dBm,
               14527,Hz,              -63.64, dBm,
               14608,Hz,              -63.06, dBm,
               14689,Hz,              -62.70, dBm,
               14770,Hz,              -62.54, dBm,
               14851,Hz,              -62.54, dBm,
               14932,Hz,              -62.68, dBm,
               15013,Hz,              -62.99, dBm,
               15094,Hz,              -63.52, dBm,
               15175,Hz,              -64.26, dBm,
               15256,Hz,              -65.11, dBm,
