Freq,,Amp,,
                1000,Hz,              -18.00, dBm,
                1081,Hz,              -18.58, dBm,
                1162,Hz,              -19.29, dBm,
                1243,Hz,              -20.16, dBm,
                1324,Hz,              -21.21, dBm,
                1405,Hz,              -22.46, dBm,
                1486,Hz,              -23.95, dBm,
                1567,Hz,              -25.67, dBm,
                1648,Hz,              -27.63, dBm,
                1729,Hz,              -29.79, dBm,
                1810,Hz,              -32.13, dBm,
                1891,Hz,              -34.59, dBm,
                1972,Hz,              -37.21, dBm,
                2053,Hz,              -40.07, dBm,
                2134,Hz,              -43.18, dBm,
                2215,Hz,              -46.57, dBm,
                2296,Hz,              -50.09, dBm,
                2377,Hz,              -53.30, dBm,
                2458,Hz,              -55.72, dBm,
                2539,Hz,              -57.24, dBm,
                2620,Hz,              -57.85, dBm,
                2701,Hz,              -57.73, dBm,
                2782,Hz,              -57.64, dBm,
                2863,Hz,              -57.34, dBm,
                2944,Hz,              -57.32, dBm,
                3025,Hz,              -57.33, dBm,
                3106,Hz,              -57.48, dBm,
                3187,Hz,              -57.60, dBm,
                3268,Hz,              -57.68, dBm,
                3349,Hz,              -57.86, dBm,
                3430,Hz,              -58.00, dBm,
                3511,Hz,              -58.26, dBm,
                3592,Hz,              -58.62, dBm,
                3673,Hz,              -58.81, dBm,
                3754,Hz,              -58.61, dBm,
                3835,Hz,              -58.36, dBm,
                3916,Hz,              -58.35, dBm,
                3997,Hz,              -58.45, dBm,
                4078,Hz,              -58.83, dBm,
                4159,Hz,              -59.47, dBm,
                4240,Hz,              -60.23, dBm,
                4321,Hz,              -60.94, dBm,
                4402,Hz,              -61.54, dBm,
                4483,Hz,              -61.98, dBm,
                4564,Hz,              -62.29, dBm,
                4645,Hz,              -62.21, dBm,
                4726,Hz,              -61.77, dBm,
                4807,Hz,              -60.90, dBm,
                4888,Hz,              -59.81, dBm,
                4969,Hz,              -58.75, dBm,
                5050,Hz,              -57.79, dBm,
                5131,Hz,              -57.18, dBm,
                5212,Hz,              -56.92, dBm,
                5293,Hz,              -56.87, dBm,
                5374,Hz,              -56.87, dBm,
                5455,Hz,              -56.92, dBm,
                5536,Hz,              -57.13, dBm,
                5617,Hz,              -57.44, dBm,
                5698,Hz,              -57.94, dBm,
                5779,Hz,              -58.61, dBm,
                5860,Hz,              -59.42, dBm,
                5941,Hz,              -60.27, dBm,
                6022,Hz,              -61.08, dBm,
                6103,Hz,              -61.75, dBm,
                6184,Hz,              -62.16, dBm,
                6265,Hz,              -62.27, dBm,
                6346,Hz,              -61.98, dBm,
                6427,Hz,              -61.63, dBm,
                6508,Hz,              -61.08, dBm,
                6589,Hz,              -60.46, dBm,
                6670,Hz,              -59.83, dBm,
                6751,Hz,              -59.30, dBm,
                6832,Hz,              -58.91, dBm,
                6913,Hz,              -58.82, dBm,
                6994,Hz,              -58.82, dBm,
                7075,Hz,              -58.93, dBm,
                7156,Hz,              -58.94, dBm,
                7237,Hz,              -58.87, dBm,
                7318,Hz,              -58.73, dBm,
                7399,Hz,              -58.47, dBm,
                7480,Hz,              -58.03, dBm,
                7561,Hz,              -57.46, dBm,
                7642,Hz,              -56.70, dBm,
                7723,Hz,              -55.89, dBm,
                7804,Hz,              -55.04, dBm,
                7885,Hz,              -54.18, dBm,
                7966,Hz,              -53.49, dBm,
                8047,Hz,              -53.01, dBm,
                8128,Hz,              -52.75, dBm,
                8209,Hz,              -52.65, dBm,
                8290,Hz,              -52.65, dBm,
                8371,Hz,              -52.69, dBm,
                8452,Hz,              -52.89, dBm,
                8533,Hz,              -53.20, dBm,
                8614,Hz,              -53.63, dBm,
                8695,Hz,              -54.19, dBm,
                8776,Hz,              -54.87, dBm,
                8857,Hz,              -55.68, dBm,
                8938,Hz,              -56.56, dBm,
                9019,Hz,              -57.53, dBm,
                9100,Hz,              -58.58, dBm,
                9181,Hz,              -59.36, dBm,
                9262,Hz,              -60.69, dBm,
                9343,Hz,              -62.21, dBm,
                9424,Hz,              -63.91, dBm,
                9505,Hz,              -65.36, dBm,
                9586,Hz,              -66.65, dBm,
                9667,Hz,              -67.86, dBm,
                9748,Hz,              -68.94, dBm,
                9829,Hz,              -69.39, dBm,
                9910,Hz,              -68.61, dBm,
                9991,Hz,              -67.36, dBm,
               10072,Hz,              -65.83, dBm,
               10153,Hz,              -64.15, dBm,
               10234,Hz,              -62.61, dBm,
               10315,Hz,              -61.52, dBm,
               10396,Hz,              -60.80, dBm,
               10477,Hz,              -60.28, dBm,
               10558,Hz,              -59.75, dBm,
               10639,Hz,              -59.23, dBm,
               10720,Hz,              -58.87, dBm,
               10801,Hz,              -58.71, dBm,
               10882,Hz,              -58.70, dBm,
               10963,Hz,              -58.72, dBm,
               11044,Hz,              -58.88, dBm,
               11125,Hz,              -59.14, dBm,
               11206,Hz,              -59.42, dBm,
               11287,Hz,              -59.46, dBm,
               11368,Hz,              -59.06, dBm,
               11449,Hz,              -58.47, dBm,
