Freq,,Amp,,
                1000,Hz,              -61.18, dBm,
                1665,Hz,              -61.11, dBm,
                2330,Hz,              -68.87, dBm,
                2995,Hz,              -64.43, dBm,
                3660,Hz,              -64.26, dBm,
                4325,Hz,              -66.50, dBm,
                4990,Hz,              -69.12, dBm,
                5655,Hz,              -67.32, dBm,
                6320,Hz,              -72.77, dBm,
                6985,Hz,              -69.58, dBm,
                7650,Hz,              -71.03, dBm,
                8315,Hz,              -71.43, dBm,
                8980,Hz,              -73.83, dBm,
                9645,Hz,              -78.04, dBm,
               10310,Hz,              -73.38, dBm,
               10975,Hz,              -77.82, dBm,
               11640,Hz,              -76.27, dBm,
               12305,Hz,              -75.92, dBm,
               12970,Hz,              -78.50, dBm,
               13635,Hz,              -78.71, dBm,
               14300,Hz,              -74.04, dBm,
               14965,Hz,              -76.32, dBm,
               15630,Hz,              -76.05, dBm,
               16295,Hz,              -73.28, dBm,
               16960,Hz,              -77.63, dBm,
               17625,Hz,              -77.65, dBm,
               18290,Hz,              -74.51, dBm,
               18955,Hz,              -79.40, dBm,
               19620,Hz,              -84.58, dBm,
               20285,Hz,              -86.37, dBm,
               20950,Hz,              -78.33, dBm,
               21615,Hz,              -81.13, dBm,
               22280,Hz,              -81.75, dBm,
               22945,Hz,              -78.56, dBm,
               23610,Hz,              -82.87, dBm,
               24275,Hz,              -80.79, dBm,
               24940,Hz,              -82.98, dBm,
               25605,Hz,              -83.60, dBm,
               26270,Hz,              -82.03, dBm,
               26935,Hz,              -80.69, dBm,
               27600,Hz,              -80.42, dBm,
               28265,Hz,              -80.54, dBm,
               28930,Hz,              -80.86, dBm,
               29595,Hz,              -81.25, dBm,
               30260,Hz,              -81.78, dBm,
               30925,Hz,              -81.74, dBm,
               31590,Hz,              -83.57, dBm,
               32255,Hz,              -77.70, dBm,
               32920,Hz,              -81.98, dBm,
               33585,Hz,              -80.46, dBm,
               34250,Hz,              -82.88, dBm,
               34915,Hz,              -76.77, dBm,
               35580,Hz,              -79.66, dBm,
               36245,Hz,              -81.68, dBm,
               36910,Hz,              -77.88, dBm,
               37575,Hz,              -84.89, dBm,
               38240,Hz,              -79.99, dBm,
               38905,Hz,              -80.85, dBm,
               39570,Hz,              -85.19, dBm,
               40235,Hz,              -82.35, dBm,
               40900,Hz,              -81.07, dBm,
               41565,Hz,              -79.13, dBm,
               42230,Hz,              -77.21, dBm,
               42895,Hz,              -79.80, dBm,
               43560,Hz,              -79.42, dBm,
               44225,Hz,              -77.17, dBm,
               44890,Hz,              -81.15, dBm,
               45555,Hz,              -84.68, dBm,
               46220,Hz,              -84.19, dBm,
               46885,Hz,              -81.46, dBm,
               47550,Hz,              -80.57, dBm,
               48215,Hz,              -80.43, dBm,
               48880,Hz,              -81.41, dBm,
               49545,Hz,              -80.83, dBm,
               50210,Hz,              -80.35, dBm,
               50875,Hz,              -81.46, dBm,
               51540,Hz,              -78.86, dBm,
               52205,Hz,              -79.80, dBm,
               52870,Hz,              -79.80, dBm,
               53535,Hz,              -81.89, dBm,
               54200,Hz,              -84.59, dBm,
               54865,Hz,              -83.46, dBm,
               55530,Hz,              -84.93, dBm,
               56195,Hz,              -80.13, dBm,
               56860,Hz,              -80.55, dBm,
               57525,Hz,              -86.82, dBm,
               58190,Hz,              -83.25, dBm,
               58855,Hz,              -84.51, dBm,
               59520,Hz,              -79.52, dBm,
               60185,Hz,              -78.01, dBm,
               60850,Hz,              -82.52, dBm,
               61515,Hz,              -80.76, dBm,
               62180,Hz,              -83.03, dBm,
               62845,Hz,              -82.97, dBm,
               63510,Hz,              -81.88, dBm,
               64175,Hz,              -84.15, dBm,
               64840,Hz,              -84.87, dBm,
               65505,Hz,              -81.26, dBm,
               66170,Hz,              -79.77, dBm,
               66835,Hz,              -83.38, dBm,
               67500,Hz,              -77.49, dBm,
               68165,Hz,              -77.50, dBm,
               68830,Hz,              -81.19, dBm,
               69495,Hz,              -79.51, dBm,
               70160,Hz,              -83.76, dBm,
               70825,Hz,              -79.91, dBm,
               71490,Hz,              -82.26, dBm,
               72155,Hz,              -82.24, dBm,
               72820,Hz,              -82.11, dBm,
               73485,Hz,              -80.84, dBm,
               74150,Hz,              -82.21, dBm,
               74815,Hz,              -82.85, dBm,
               75480,Hz,              -79.09, dBm,
               76145,Hz,              -81.06, dBm,
               76810,Hz,              -81.77, dBm,
               77475,Hz,              -82.77, dBm,
               78140,Hz,              -79.05, dBm,
               78805,Hz,              -79.59, dBm,
               79470,Hz,              -84.89, dBm,
               80135,Hz,              -79.30, dBm,
               80800,Hz,              -80.82, dBm,
               81465,Hz,              -82.83, dBm,
               82130,Hz,              -83.31, dBm,
               82795,Hz,              -84.08, dBm,
               83460,Hz,              -79.68, dBm,
               84125,Hz,              -82.41, dBm,
               84790,Hz,              -82.47, dBm,
               85455,Hz,              -85.97, dBm,
               86120,Hz,              -78.70, dBm,
               86785,Hz,              -78.40, dBm,
               87450,Hz,              -77.94, dBm,
               88115,Hz,              -77.72, dBm,
               88780,Hz,              -78.51, dBm,
               89445,Hz,              -78.10, dBm,
               90110,Hz,              -79.02, dBm,
               90775,Hz,              -84.66, dBm,
               91440,Hz,              -81.11, dBm,
               92105,Hz,              -84.05, dBm,
               92770,Hz,              -83.10, dBm,
               93435,Hz,              -84.00, dBm,
               94100,Hz,              -81.76, dBm,
               94765,Hz,              -84.91, dBm,
               95430,Hz,              -85.77, dBm,
               96095,Hz,              -79.93, dBm,
               96760,Hz,              -79.76, dBm,
               97425,Hz,              -80.40, dBm,
               98090,Hz,              -80.97, dBm,
               98755,Hz,              -83.59, dBm,
               99420,Hz,              -84.57, dBm,
              100085,Hz,              -84.30, dBm,
              100750,Hz,              -82.68, dBm,
              101415,Hz,              -82.55, dBm,
              102080,Hz,              -84.29, dBm,
              102745,Hz,              -82.86, dBm,
              103410,Hz,              -81.45, dBm,
              104075,Hz,              -83.44, dBm,
              104740,Hz,              -83.86, dBm,
              105405,Hz,              -85.32, dBm,
              106070,Hz,              -82.66, dBm,
              106735,Hz,              -85.15, dBm,
              107400,Hz,              -85.19, dBm,
              108065,Hz,              -84.90, dBm,
              108730,Hz,              -83.51, dBm,
              109395,Hz,              -83.10, dBm,
              110060,Hz,              -84.26, dBm,
              110725,Hz,              -77.56, dBm,
              111390,Hz,              -81.53, dBm,
              112055,Hz,              -80.48, dBm,
              112720,Hz,              -82.95, dBm,
              113385,Hz,              -84.13, dBm,
              114050,Hz,              -81.76, dBm,
              114715,Hz,              -81.77, dBm,
              115380,Hz,              -81.56, dBm,
              116045,Hz,              -80.76, dBm,
              116710,Hz,              -83.50, dBm,
              117375,Hz,              -85.63, dBm,
              118040,Hz,              -84.69, dBm,
              118705,Hz,              -85.92, dBm,
              119370,Hz,              -85.22, dBm,
              120035,Hz,              -80.96, dBm,
              120700,Hz,              -79.20, dBm,
              121365,Hz,              -83.30, dBm,
              122030,Hz,              -85.01, dBm,
              122695,Hz,              -79.94, dBm,
              123360,Hz,              -79.98, dBm,
              124025,Hz,              -82.42, dBm,
              124690,Hz,              -80.15, dBm,
              125355,Hz,              -84.09, dBm,
              126020,Hz,              -83.66, dBm,
              126685,Hz,              -83.34, dBm,
              127350,Hz,              -83.03, dBm,
              128015,Hz,              -85.17, dBm,
              128680,Hz,              -85.14, dBm,
              129345,Hz,              -84.25, dBm,
              130010,Hz,              -84.38, dBm,
              130675,Hz,              -83.91, dBm,
              131340,Hz,              -83.34, dBm,
              132005,Hz,              -86.34, dBm,
              132670,Hz,              -81.06, dBm,
              133335,Hz,              -86.89, dBm,
              134000,Hz,              -81.95, dBm,
              134665,Hz,              -82.76, dBm,
              135330,Hz,              -79.74, dBm,
              135995,Hz,              -84.82, dBm,
              136660,Hz,              -85.16, dBm,
              137325,Hz,              -84.52, dBm,
              137990,Hz,              -84.89, dBm,
              138655,Hz,              -84.81, dBm,
              139320,Hz,              -82.89, dBm,
              139985,Hz,              -82.46, dBm,
              140650,Hz,              -82.94, dBm,
              141315,Hz,              -81.79, dBm,
              141980,Hz,              -81.95, dBm,
              142645,Hz,              -83.84, dBm,
              143310,Hz,              -86.90, dBm,
              143975,Hz,              -85.31, dBm,
              144640,Hz,              -83.06, dBm,
              145305,Hz,              -86.07, dBm,
              145970,Hz,              -87.63, dBm,
              146635,Hz,              -82.50, dBm,
              147300,Hz,              -87.54, dBm,
              147965,Hz,              -82.71, dBm,
              148630,Hz,              -82.88, dBm,
              149295,Hz,              -83.54, dBm,
              149960,Hz,              -87.78, dBm,
              150625,Hz,              -87.02, dBm,
              151290,Hz,              -86.80, dBm,
              151955,Hz,              -85.75, dBm,
              152620,Hz,              -83.48, dBm,
              153285,Hz,              -85.04, dBm,
              153950,Hz,              -86.73, dBm,
              154615,Hz,              -86.61, dBm,
              155280,Hz,              -80.74, dBm,
              155945,Hz,              -80.71, dBm,
              156610,Hz,              -80.71, dBm,
              157275,Hz,              -85.13, dBm,
              157940,Hz,              -84.04, dBm,
              158605,Hz,              -86.95, dBm,
              159270,Hz,              -85.79, dBm,
              159935,Hz,              -85.51, dBm,
              160600,Hz,              -86.84, dBm,
              161265,Hz,              -82.85, dBm,
              161930,Hz,              -83.87, dBm,
              162595,Hz,              -86.96, dBm,
              163260,Hz,              -83.43, dBm,
              163925,Hz,              -83.54, dBm,
              164590,Hz,              -83.40, dBm,
              165255,Hz,              -83.55, dBm,
              165920,Hz,              -84.54, dBm,
              166585,Hz,              -86.33, dBm,
              167250,Hz,              -86.29, dBm,
              167915,Hz,              -82.32, dBm,
              168580,Hz,              -82.32, dBm,
              169245,Hz,              -84.75, dBm,
              169910,Hz,              -86.48, dBm,
              170575,Hz,              -84.28, dBm,
              171240,Hz,              -82.55, dBm,
              171905,Hz,              -86.34, dBm,
              172570,Hz,              -85.86, dBm,
              173235,Hz,              -85.59, dBm,
              173900,Hz,              -84.55, dBm,
              174565,Hz,              -82.02, dBm,
              175230,Hz,              -83.99, dBm,
              175895,Hz,              -84.96, dBm,
              176560,Hz,              -86.52, dBm,
              177225,Hz,              -84.97, dBm,
              177890,Hz,              -89.19, dBm,
              178555,Hz,              -84.58, dBm,
              179220,Hz,              -84.40, dBm,
              179885,Hz,              -85.09, dBm,
              180550,Hz,              -88.87, dBm,
              181215,Hz,              -89.86, dBm,
              181880,Hz,              -85.20, dBm,
              182545,Hz,              -83.67, dBm,
              183210,Hz,              -86.77, dBm,
              183875,Hz,              -89.09, dBm,
              184540,Hz,              -84.62, dBm,
              185205,Hz,              -84.01, dBm,
              185870,Hz,              -83.46, dBm,
              186535,Hz,              -84.04, dBm,
              187200,Hz,              -84.66, dBm,
              187865,Hz,              -82.76, dBm,
              188530,Hz,              -82.77, dBm,
              189195,Hz,              -84.15, dBm,
              189860,Hz,              -82.35, dBm,
              190525,Hz,              -87.19, dBm,
              191190,Hz,              -83.24, dBm,
              191855,Hz,              -87.92, dBm,
              192520,Hz,              -87.08, dBm,
              193185,Hz,              -86.69, dBm,
              193850,Hz,              -89.50, dBm,
