Freq,,Amp,,
                1000,Hz,              -66.99, dBm,
                1665,Hz,              -70.29, dBm,
                2330,Hz,              -66.79, dBm,
                2995,Hz,              -67.27, dBm,
                3660,Hz,              -70.82, dBm,
                4325,Hz,              -70.61, dBm,
                4990,Hz,              -72.29, dBm,
                5655,Hz,              -69.87, dBm,
                6320,Hz,              -72.97, dBm,
                6985,Hz,              -71.72, dBm,
                7650,Hz,              -70.32, dBm,
                8315,Hz,              -75.42, dBm,
                8980,Hz,              -72.49, dBm,
                9645,Hz,              -75.89, dBm,
               10310,Hz,              -74.48, dBm,
               10975,Hz,              -76.77, dBm,
               11640,Hz,              -74.85, dBm,
               12305,Hz,              -73.02, dBm,
               12970,Hz,              -75.32, dBm,
               13635,Hz,              -73.79, dBm,
               14300,Hz,              -66.39, dBm,
               14965,Hz,              -73.45, dBm,
               15630,Hz,              -74.43, dBm,
               16295,Hz,              -76.96, dBm,
               16960,Hz,              -74.92, dBm,
               17625,Hz,              -78.62, dBm,
               18290,Hz,              -84.39, dBm,
               18955,Hz,              -77.11, dBm,
               19620,Hz,              -81.56, dBm,
               20285,Hz,              -82.54, dBm,
               20950,Hz,              -76.45, dBm,
               21615,Hz,              -76.57, dBm,
               22280,Hz,              -82.45, dBm,
               22945,Hz,              -80.10, dBm,
               23610,Hz,              -81.36, dBm,
               24275,Hz,              -81.71, dBm,
               24940,Hz,              -80.56, dBm,
               25605,Hz,              -83.67, dBm,
               26270,Hz,              -81.50, dBm,
               26935,Hz,              -82.81, dBm,
               27600,Hz,              -81.89, dBm,
               28265,Hz,              -81.89, dBm,
               28930,Hz,              -83.66, dBm,
               29595,Hz,              -82.79, dBm,
               30260,Hz,              -82.85, dBm,
               30925,Hz,              -80.67, dBm,
               31590,Hz,              -83.22, dBm,
               32255,Hz,              -78.57, dBm,
               32920,Hz,              -81.31, dBm,
               33585,Hz,              -81.61, dBm,
               34250,Hz,              -82.38, dBm,
               34915,Hz,              -83.58, dBm,
               35580,Hz,              -78.32, dBm,
               36245,Hz,              -78.47, dBm,
               36910,Hz,              -80.78, dBm,
               37575,Hz,              -84.53, dBm,
               38240,Hz,              -81.64, dBm,
               38905,Hz,              -81.74, dBm,
               39570,Hz,              -83.37, dBm,
               40235,Hz,              -80.48, dBm,
               40900,Hz,              -79.87, dBm,
               41565,Hz,              -77.73, dBm,
               42230,Hz,              -78.54, dBm,
               42895,Hz,              -78.31, dBm,
               43560,Hz,              -80.91, dBm,
               44225,Hz,              -79.85, dBm,
               44890,Hz,              -81.99, dBm,
               45555,Hz,              -83.86, dBm,
               46220,Hz,              -84.67, dBm,
               46885,Hz,              -85.52, dBm,
               47550,Hz,              -83.24, dBm,
               48215,Hz,              -81.04, dBm,
               48880,Hz,              -81.25, dBm,
               49545,Hz,              -84.50, dBm,
               50210,Hz,              -80.42, dBm,
               50875,Hz,              -81.01, dBm,
               51540,Hz,              -77.56, dBm,
               52205,Hz,              -83.83, dBm,
               52870,Hz,              -85.76, dBm,
               53535,Hz,              -81.15, dBm,
               54200,Hz,              -81.46, dBm,
               54865,Hz,              -79.77, dBm,
               55530,Hz,              -83.25, dBm,
               56195,Hz,              -80.10, dBm,
               56860,Hz,              -83.58, dBm,
               57525,Hz,              -80.13, dBm,
               58190,Hz,              -79.58, dBm,
               58855,Hz,              -80.37, dBm,
               59520,Hz,              -85.57, dBm,
               60185,Hz,              -80.29, dBm,
               60850,Hz,              -76.50, dBm,
               61515,Hz,              -86.06, dBm,
               62180,Hz,              -77.99, dBm,
               62845,Hz,              -76.57, dBm,
               63510,Hz,              -80.94, dBm,
               64175,Hz,              -82.91, dBm,
               64840,Hz,              -80.06, dBm,
               65505,Hz,              -81.07, dBm,
               66170,Hz,              -80.11, dBm,
               66835,Hz,              -86.96, dBm,
               67500,Hz,              -84.34, dBm,
               68165,Hz,              -82.49, dBm,
               68830,Hz,              -81.36, dBm,
               69495,Hz,              -83.48, dBm,
               70160,Hz,              -88.36, dBm,
               70825,Hz,              -89.50, dBm,
               71490,Hz,              -83.35, dBm,
               72155,Hz,              -85.03, dBm,
               72820,Hz,              -86.80, dBm,
               73485,Hz,              -80.57, dBm,
               74150,Hz,              -80.73, dBm,
               74815,Hz,              -83.73, dBm,
               75480,Hz,              -82.13, dBm,
               76145,Hz,              -83.04, dBm,
               76810,Hz,              -82.56, dBm,
               77475,Hz,              -79.52, dBm,
               78140,Hz,              -79.40, dBm,
               78805,Hz,              -84.08, dBm,
               79470,Hz,              -80.82, dBm,
               80135,Hz,              -79.18, dBm,
               80800,Hz,              -81.44, dBm,
               81465,Hz,              -84.58, dBm,
               82130,Hz,              -81.01, dBm,
               82795,Hz,              -79.54, dBm,
               83460,Hz,              -79.65, dBm,
               84125,Hz,              -78.98, dBm,
               84790,Hz,              -81.64, dBm,
               85455,Hz,              -83.33, dBm,
               86120,Hz,              -78.78, dBm,
               86785,Hz,              -77.75, dBm,
               87450,Hz,              -73.74, dBm,
               88115,Hz,              -71.63, dBm,
               88780,Hz,              -81.79, dBm,
               89445,Hz,              -79.23, dBm,
               90110,Hz,              -78.64, dBm,
               90775,Hz,              -79.16, dBm,
               91440,Hz,              -82.17, dBm,
