Freq,,Amp,,
                1000,Hz,              -66.19, dBm,
                1165,Hz,              -62.94, dBm,
                1330,Hz,              -63.24, dBm,
                1495,Hz,              -70.02, dBm,
                1660,Hz,              -69.17, dBm,
                1825,Hz,              -68.11, dBm,
                1990,Hz,              -66.25, dBm,
                2155,Hz,              -66.19, dBm,
                2320,Hz,              -65.69, dBm,
                2485,Hz,              -65.60, dBm,
                2650,Hz,              -66.69, dBm,
                2815,Hz,              -70.44, dBm,
                2980,Hz,              -71.72, dBm,
                3145,Hz,              -73.02, dBm,
                3310,Hz,              -75.48, dBm,
                3475,Hz,              -75.48, dBm,
                3640,Hz,              -71.93, dBm,
                3805,Hz,              -70.41, dBm,
                3970,Hz,              -71.60, dBm,
                4135,Hz,              -72.13, dBm,
                4300,Hz,              -72.21, dBm,
                4465,Hz,              -74.04, dBm,
                4630,Hz,              -73.98, dBm,
                4795,Hz,              -74.88, dBm,
                4960,Hz,              -68.72, dBm,
                5125,Hz,              -67.25, dBm,
                5290,Hz,              -67.61, dBm,
                5455,Hz,              -68.31, dBm,
                5620,Hz,              -68.43, dBm,
                5785,Hz,              -71.69, dBm,
                5950,Hz,              -74.88, dBm,
                6115,Hz,              -74.08, dBm,
                6280,Hz,              -72.93, dBm,
                6445,Hz,              -73.72, dBm,
                6610,Hz,              -79.10, dBm,
                6775,Hz,              -75.01, dBm,
                6940,Hz,              -71.37, dBm,
                7105,Hz,              -70.54, dBm,
                7270,Hz,              -70.78, dBm,
                7435,Hz,              -71.46, dBm,
                7600,Hz,              -76.91, dBm,
                7765,Hz,              -71.88, dBm,
                7930,Hz,              -70.61, dBm,
                8095,Hz,              -71.02, dBm,
                8260,Hz,              -78.23, dBm,
                8425,Hz,              -79.02, dBm,
                8590,Hz,              -77.75, dBm,
                8755,Hz,              -76.71, dBm,
                8920,Hz,              -71.43, dBm,
                9085,Hz,              -71.35, dBm,
                9250,Hz,              -74.28, dBm,
                9415,Hz,              -78.67, dBm,
                9580,Hz,              -79.68, dBm,
                9745,Hz,              -82.17, dBm,
                9910,Hz,              -77.86, dBm,
               10075,Hz,              -74.80, dBm,
               10240,Hz,              -74.62, dBm,
               10405,Hz,              -74.94, dBm,
               10570,Hz,              -77.28, dBm,
               10735,Hz,              -76.35, dBm,
               10900,Hz,              -76.83, dBm,
               11065,Hz,              -75.12, dBm,
               11230,Hz,              -75.12, dBm,
               11395,Hz,              -76.98, dBm,
               11560,Hz,              -78.29, dBm,
               11725,Hz,              -80.63, dBm,
               11890,Hz,              -78.09, dBm,
               12055,Hz,              -77.42, dBm,
               12220,Hz,              -80.26, dBm,
               12385,Hz,              -78.80, dBm,
               12550,Hz,              -79.49, dBm,
               12715,Hz,              -79.61, dBm,
               12880,Hz,              -77.20, dBm,
               13045,Hz,              -76.20, dBm,
               13210,Hz,              -76.60, dBm,
               13375,Hz,              -81.67, dBm,
               13540,Hz,              -77.59, dBm,
               13705,Hz,              -76.68, dBm,
               13870,Hz,              -77.68, dBm,
               14035,Hz,              -83.53, dBm,
               14200,Hz,              -79.96, dBm,
               14365,Hz,              -80.06, dBm,
               14530,Hz,              -78.42, dBm,
               14695,Hz,              -78.55, dBm,
               14860,Hz,              -81.29, dBm,
               15025,Hz,              -82.45, dBm,
               15190,Hz,              -79.50, dBm,
               15355,Hz,              -77.77, dBm,
               15520,Hz,              -78.72, dBm,
               15685,Hz,              -83.15, dBm,
               15850,Hz,              -83.22, dBm,
               16015,Hz,              -86.98, dBm,
               16180,Hz,              -85.59, dBm,
               16345,Hz,              -82.64, dBm,
               16510,Hz,              -82.78, dBm,
               16675,Hz,              -86.71, dBm,
               16840,Hz,              -85.67, dBm,
               17005,Hz,              -81.42, dBm,
               17170,Hz,              -81.53, dBm,
               17335,Hz,              -81.12, dBm,
               17500,Hz,              -81.12, dBm,
               17665,Hz,              -83.38, dBm,
               17830,Hz,              -87.14, dBm,
               17995,Hz,              -87.75, dBm,
               18160,Hz,              -87.77, dBm,
               18325,Hz,              -86.40, dBm,
               18490,Hz,              -79.66, dBm,
               18655,Hz,              -76.10, dBm,
               18820,Hz,              -76.26, dBm,
               18985,Hz,              -81.52, dBm,
               19150,Hz,              -78.20, dBm,
               19315,Hz,              -77.56, dBm,
               19480,Hz,              -78.94, dBm,
               19645,Hz,              -84.80, dBm,
               19810,Hz,              -83.98, dBm,
               19975,Hz,              -82.36, dBm,
               20140,Hz,              -81.70, dBm,
               20305,Hz,              -81.97, dBm,
               20470,Hz,              -87.62, dBm,
               20635,Hz,              -84.90, dBm,
               20800,Hz,              -84.24, dBm,
               20965,Hz,              -85.09, dBm,
               21130,Hz,              -85.47, dBm,
               21295,Hz,              -85.39, dBm,
               21460,Hz,              -86.17, dBm,
               21625,Hz,              -85.35, dBm,
               21790,Hz,              -85.30, dBm,
               21955,Hz,              -88.13, dBm,
               22120,Hz,              -84.38, dBm,
               22285,Hz,              -78.05, dBm,
               22450,Hz,              -78.05, dBm,
               22615,Hz,              -82.30, dBm,
               22780,Hz,              -84.49, dBm,
               22945,Hz,              -80.13, dBm,
               23110,Hz,              -78.17, dBm,
               23275,Hz,              -78.36, dBm,
               23440,Hz,              -84.96, dBm,
               23605,Hz,              -83.22, dBm,
               23770,Hz,              -76.47, dBm,
               23935,Hz,              -75.51, dBm,
               24100,Hz,              -77.76, dBm,
               24265,Hz,              -84.91, dBm,
               24430,Hz,              -83.58, dBm,
               24595,Hz,              -81.90, dBm,
               24760,Hz,              -79.86, dBm,
               24925,Hz,              -79.72, dBm,
               25090,Hz,              -82.20, dBm,
               25255,Hz,              -86.16, dBm,
               25420,Hz,              -83.42, dBm,
               25585,Hz,              -81.51, dBm,
               25750,Hz,              -81.53, dBm,
               25915,Hz,              -84.37, dBm,
               26080,Hz,              -84.02, dBm,
               26245,Hz,              -80.94, dBm,
               26410,Hz,              -81.17, dBm,
               26575,Hz,              -85.17, dBm,
               26740,Hz,              -83.48, dBm,
               26905,Hz,              -82.95, dBm,
               27070,Hz,              -82.20, dBm,
               27235,Hz,              -79.63, dBm,
               27400,Hz,              -79.56, dBm,
               27565,Hz,              -81.37, dBm,
               27730,Hz,              -81.46, dBm,
               27895,Hz,              -81.12, dBm,
               28060,Hz,              -81.96, dBm,
               28225,Hz,              -84.54, dBm,
               28390,Hz,              -82.33, dBm,
               28555,Hz,              -82.11, dBm,
               28720,Hz,              -80.46, dBm,
               28885,Hz,              -79.89, dBm,
               29050,Hz,              -81.46, dBm,
               29215,Hz,              -83.18, dBm,
               29380,Hz,              -82.35, dBm,
               29545,Hz,              -82.82, dBm,
               29710,Hz,              -80.58, dBm,
               29875,Hz,              -80.45, dBm,
               30040,Hz,              -82.77, dBm,
               30205,Hz,              -81.84, dBm,
               30370,Hz,              -81.65, dBm,
               30535,Hz,              -81.38, dBm,
               30700,Hz,              -80.88, dBm,
               30865,Hz,              -81.84, dBm,
               31030,Hz,              -84.22, dBm,
               31195,Hz,              -82.29, dBm,
               31360,Hz,              -82.29, dBm,
               31525,Hz,              -82.07, dBm,
               31690,Hz,              -81.54, dBm,
               31855,Hz,              -81.54, dBm,
               32020,Hz,              -83.42, dBm,
               32185,Hz,              -78.20, dBm,
               32350,Hz,              -78.55, dBm,
               32515,Hz,              -85.54, dBm,
               32680,Hz,              -80.16, dBm,
               32845,Hz,              -79.71, dBm,
               33010,Hz,              -80.36, dBm,
               33175,Hz,              -78.24, dBm,
               33340,Hz,              -78.61, dBm,
               33505,Hz,              -81.64, dBm,
               33670,Hz,              -83.92, dBm,
               33835,Hz,              -83.71, dBm,
               34000,Hz,              -85.38, dBm,
               34165,Hz,              -82.58, dBm,
               34330,Hz,              -82.39, dBm,
               34495,Hz,              -82.81, dBm,
               34660,Hz,              -82.46, dBm,
               34825,Hz,              -84.01, dBm,
               34990,Hz,              -88.29, dBm,
               35155,Hz,              -84.67, dBm,
               35320,Hz,              -78.24, dBm,
               35485,Hz,              -76.54, dBm,
               35650,Hz,              -76.87, dBm,
               35815,Hz,              -79.56, dBm,
               35980,Hz,              -78.66, dBm,
               36145,Hz,              -79.35, dBm,
               36310,Hz,              -86.48, dBm,
               36475,Hz,              -79.48, dBm,
               36640,Hz,              -77.89, dBm,
               36805,Hz,              -77.97, dBm,
               36970,Hz,              -78.81, dBm,
               37135,Hz,              -80.53, dBm,
               37300,Hz,              -82.01, dBm,
               37465,Hz,              -84.97, dBm,
               37630,Hz,              -84.75, dBm,
               37795,Hz,              -84.39, dBm,
               37960,Hz,              -86.54, dBm,
               38125,Hz,              -89.80, dBm,
               38290,Hz,              -84.63, dBm,
               38455,Hz,              -76.87, dBm,
               38620,Hz,              -76.08, dBm,
               38785,Hz,              -76.50, dBm,
               38950,Hz,              -78.92, dBm,
               39115,Hz,              -79.91, dBm,
               39280,Hz,              -79.66, dBm,
               39445,Hz,              -78.28, dBm,
               39610,Hz,              -76.89, dBm,
               39775,Hz,              -76.93, dBm,
               39940,Hz,              -78.74, dBm,
               40105,Hz,              -79.03, dBm,
               40270,Hz,              -82.78, dBm,
               40435,Hz,              -81.21, dBm,
               40600,Hz,              -81.48, dBm,
               40765,Hz,              -80.93, dBm,
               40930,Hz,              -79.11, dBm,
               41095,Hz,              -79.11, dBm,
               41260,Hz,              -81.66, dBm,
               41425,Hz,              -82.63, dBm,
               41590,Hz,              -82.01, dBm,
               41755,Hz,              -83.86, dBm,
               41920,Hz,              -83.59, dBm,
               42085,Hz,              -80.58, dBm,
               42250,Hz,              -79.65, dBm,
               42415,Hz,              -79.65, dBm,
               42580,Hz,              -80.16, dBm,
               42745,Hz,              -79.81, dBm,
               42910,Hz,              -83.01, dBm,
               43075,Hz,              -80.93, dBm,
               43240,Hz,              -79.72, dBm,
               43405,Hz,              -80.93, dBm,
               43570,Hz,              -82.71, dBm,
               43735,Hz,              -78.33, dBm,
               43900,Hz,              -78.39, dBm,
               44065,Hz,              -81.09, dBm,
               44230,Hz,              -81.32, dBm,
               44395,Hz,              -79.34, dBm,
               44560,Hz,              -79.79, dBm,
               44725,Hz,              -78.18, dBm,
               44890,Hz,              -78.24, dBm,
               45055,Hz,              -80.29, dBm,
               45220,Hz,              -82.40, dBm,
               45385,Hz,              -80.07, dBm,
               45550,Hz,              -81.08, dBm,
               45715,Hz,              -86.17, dBm,
               45880,Hz,              -76.03, dBm,
               46045,Hz,              -73.73, dBm,
               46210,Hz,              -74.57, dBm,
               46375,Hz,              -80.87, dBm,
               46540,Hz,              -84.56, dBm,
               46705,Hz,              -84.13, dBm,
               46870,Hz,              -81.78, dBm,
               47035,Hz,              -77.46, dBm,
               47200,Hz,              -79.49, dBm,
               47365,Hz,              -74.95, dBm,
               47530,Hz,              -75.16, dBm,
               47695,Hz,              -78.53, dBm,
               47860,Hz,              -75.34, dBm,
               48025,Hz,              -75.22, dBm,
               48190,Hz,              -76.35, dBm,
               48355,Hz,              -79.64, dBm,
               48520,Hz,              -79.23, dBm,
               48685,Hz,              -78.82, dBm,
               48850,Hz,              -77.85, dBm,
               49015,Hz,              -74.68, dBm,
               49180,Hz,              -73.25, dBm,
               49345,Hz,              -73.75, dBm,
               49510,Hz,              -72.16, dBm,
               49675,Hz,              -71.75, dBm,
               49840,Hz,              -71.61, dBm,
               50005,Hz,              -70.35, dBm,
               50170,Hz,              -65.19, dBm,
               50335,Hz,              -64.24, dBm,
               50500,Hz,              -64.98, dBm,
               50665,Hz,              -69.60, dBm,
               50830,Hz,              -64.65, dBm,
               50995,Hz,              -64.52, dBm,
               51160,Hz,              -64.55, dBm,
               51325,Hz,              -57.22, dBm,
               51490,Hz,              -56.35, dBm,
               51655,Hz,              -56.48, dBm,
               51820,Hz,              -60.77, dBm,
               51985,Hz,              -61.56, dBm,
               52150,Hz,              -64.30, dBm,
               52315,Hz,              -64.63, dBm,
               52480,Hz,              -63.65, dBm,
               52645,Hz,              -63.49, dBm,
               52810,Hz,              -66.12, dBm,
               52975,Hz,              -72.76, dBm,
               53140,Hz,              -73.70, dBm,
               53305,Hz,              -73.74, dBm,
               53470,Hz,              -77.46, dBm,
               53635,Hz,              -70.57, dBm,
               53800,Hz,              -70.28, dBm,
               53965,Hz,              -72.30, dBm,
               54130,Hz,              -77.52, dBm,
               54295,Hz,              -72.61, dBm,
               54460,Hz,              -72.75, dBm,
               54625,Hz,              -76.08, dBm,
               54790,Hz,              -70.88, dBm,
               54955,Hz,              -70.31, dBm,
               55120,Hz,              -71.90, dBm,
               55285,Hz,              -78.12, dBm,
               55450,Hz,              -77.95, dBm,
               55615,Hz,              -77.82, dBm,
               55780,Hz,              -80.45, dBm,
               55945,Hz,              -78.14, dBm,
               56110,Hz,              -78.14, dBm,
               56275,Hz,              -76.26, dBm,
               56440,Hz,              -76.09, dBm,
               56605,Hz,              -75.98, dBm,
               56770,Hz,              -75.98, dBm,
               56935,Hz,              -75.60, dBm,
               57100,Hz,              -75.97, dBm,
               57265,Hz,              -77.95, dBm,
               57430,Hz,              -79.61, dBm,
               57595,Hz,              -79.14, dBm,
               57760,Hz,              -77.82, dBm,
               57925,Hz,              -77.47, dBm,
               58090,Hz,              -78.71, dBm,
               58255,Hz,              -75.72, dBm,
               58420,Hz,              -74.84, dBm,
               58585,Hz,              -75.83, dBm,
               58750,Hz,              -81.80, dBm,
               58915,Hz,              -84.13, dBm,
               59080,Hz,              -80.68, dBm,
               59245,Hz,              -77.23, dBm,
               59410,Hz,              -75.72, dBm,
               59575,Hz,              -75.83, dBm,
               59740,Hz,              -79.32, dBm,
               59905,Hz,              -77.07, dBm,
               60070,Hz,              -78.01, dBm,
               60235,Hz,              -85.82, dBm,
               60400,Hz,              -79.09, dBm,
               60565,Hz,              -73.32, dBm,
               60730,Hz,              -73.23, dBm,
               60895,Hz,              -74.88, dBm,
               61060,Hz,              -81.51, dBm,
               61225,Hz,              -81.97, dBm,
               61390,Hz,              -76.54, dBm,
               61555,Hz,              -74.74, dBm,
               61720,Hz,              -70.30, dBm,
               61885,Hz,              -69.62, dBm,
               62050,Hz,              -72.76, dBm,
               62215,Hz,              -76.01, dBm,
               62380,Hz,              -74.94, dBm,
               62545,Hz,              -74.85, dBm,
               62710,Hz,              -81.09, dBm,
               62875,Hz,              -80.81, dBm,
               63040,Hz,              -80.78, dBm,
               63205,Hz,              -81.90, dBm,
               63370,Hz,              -87.00, dBm,
               63535,Hz,              -80.46, dBm,
               63700,Hz,              -80.46, dBm,
