Freq,,Amp,,
                1000,Hz,              -75.54, dBm,
                1165,Hz,              -76.10, dBm,
                1330,Hz,              -71.80, dBm,
                1495,Hz,              -66.72, dBm,
                1660,Hz,              -66.42, dBm,
                1825,Hz,              -68.20, dBm,
                1990,Hz,              -70.80, dBm,
                2155,Hz,              -67.96, dBm,
                2320,Hz,              -66.38, dBm,
                2485,Hz,              -66.25, dBm,
                2650,Hz,              -67.19, dBm,
                2815,Hz,              -69.36, dBm,
                2980,Hz,              -68.39, dBm,
                3145,Hz,              -69.86, dBm,
                3310,Hz,              -76.18, dBm,
                3475,Hz,              -76.81, dBm,
                3640,Hz,              -72.71, dBm,
                3805,Hz,              -72.04, dBm,
                3970,Hz,              -68.19, dBm,
                4135,Hz,              -67.47, dBm,
                4300,Hz,              -69.48, dBm,
                4465,Hz,              -76.65, dBm,
                4630,Hz,              -74.87, dBm,
                4795,Hz,              -74.27, dBm,
                4960,Hz,              -69.57, dBm,
                5125,Hz,              -67.96, dBm,
                5290,Hz,              -68.44, dBm,
                5455,Hz,              -71.14, dBm,
                5620,Hz,              -69.48, dBm,
                5785,Hz,              -68.70, dBm,
                5950,Hz,              -68.85, dBm,
                6115,Hz,              -69.77, dBm,
                6280,Hz,              -74.76, dBm,
                6445,Hz,              -75.91, dBm,
                6610,Hz,              -74.42, dBm,
                6775,Hz,              -71.12, dBm,
                6940,Hz,              -71.11, dBm,
                7105,Hz,              -68.28, dBm,
                7270,Hz,              -68.05, dBm,
                7435,Hz,              -69.29, dBm,
                7600,Hz,              -76.33, dBm,
                7765,Hz,              -72.88, dBm,
                7930,Hz,              -72.17, dBm,
                8095,Hz,              -72.93, dBm,
                8260,Hz,              -76.32, dBm,
                8425,Hz,              -76.39, dBm,
                8590,Hz,              -80.05, dBm,
                8755,Hz,              -76.68, dBm,
                8920,Hz,              -74.30, dBm,
                9085,Hz,              -76.41, dBm,
                9250,Hz,              -78.91, dBm,
                9415,Hz,              -78.84, dBm,
                9580,Hz,              -77.32, dBm,
                9745,Hz,              -73.74, dBm,
                9910,Hz,              -72.49, dBm,
               10075,Hz,              -72.49, dBm,
               10240,Hz,              -74.63, dBm,
               10405,Hz,              -76.58, dBm,
               10570,Hz,              -82.88, dBm,
               10735,Hz,              -80.73, dBm,
